Order_ID,Product_ID,Seller_ID,Category,City,State,Order_Date,Quantity,Unit_Price,Discount,Final_Amount,Payment_Mode,Order_Status
ORD100023,PRD1106,SEL888,Fashion,Chennai,Rajasthan,2024-12-13,2,697,462,932,COD,Returned
ORD100024,PRD3615,SEL698,Beauty,Bangalore,Telangana,2024-03-08,1,1508,167,1341,UPI,Returned
ORD100025,PRD7924,SEL812,Electronics,Chennai,Rajasthan,2024-09-28,5,1416,425,6655,Debit Card,Returned
ORD100026,PRD6574,SEL120,Electronics,Indore,West Bengal,2024-02-28,4,608,72,2360,Debit Card,Delivered
ORD100027,PRD5552,SEL977,Fashion,Jaipur,Maharashtra,2024-07-21,1,1383,274,1109,Debit Card,In Transit
ORD100028,PRD3547,SEL883,Electronics,Jaipur,Delhi,2024-11-22,3,743,345,1884,Net Banking,Returned
ORD100029,PRD4527,SEL689,Beauty,Chennai,Madhya Pradesh,2024-11-08,2,558,325,791,COD,Cancelled
ORD100030,PRD6514,SEL489,Fashion,Mumbai,Telangana,2024-01-24,1,1546,252,1294,Net Banking,Cancelled
ORD100031,PRD2674,SEL588,Footwear,Indore,Karnataka,2024-07-17,4,1819,343,6933,Credit Card,Delivered
ORD100032,PRD2519,SEL106,Home & Kitchen,Delhi,Maharashtra,2024-09-07,5,1971,480,9375,UPI,In Transit
ORD100033,PRD7224,SEL460,Home & Kitchen,Kolkata,Maharashtra,2024-08-15,2,1785,50,3520,COD,In Transit
ORD100034,PRD2584,SEL405,Beauty,Mumbai,Telangana,2024-05-21,2,800,485,1115,Net Banking,Delivered
ORD100035,PRD6881,SEL871,Footwear,Hyderabad,Maharashtra,2024-01-26,3,1297,64,3827,Net Banking,Cancelled
ORD100036,PRD6635,SEL499,Electronics,Delhi,Tamil Nadu,2024-10-27,2,1254,168,2340,UPI,Cancelled
ORD100037,PRD5333,SEL973,Fashion,Bangalore,Delhi,2024-10-03,3,1014,56,2986,Debit Card,Cancelled
ORD100038,PRD1711,SEL955,Home & Kitchen,Delhi,Karnataka,2024-10-28,3,364,89,1003,Credit Card,Delivered
ORD100039,PRD8527,SEL529,Home & Kitchen,Kolkata,Maharashtra,2024-02-02,4,2136,398,8146,Credit Card,Cancelled
ORD100040,PRD9785,SEL651,Beauty,Delhi,Delhi,2024-11-10,1,2435,154,2281,Credit Card,In Transit
ORD100041,PRD3045,SEL865,Beauty,Mumbai,Maharashtra,2024-08-06,1,2308,364,1944,Debit Card,Cancelled
ORD100042,PRD7201,SEL852,Footwear,Kolkata,Maharashtra,2024-02-03,2,1426,319,2533,Credit Card,Returned
ORD100043,PRD2291,SEL659,Fashion,Kolkata,Telangana,2024-08-20,5,2062,50,10260,Credit Card,In Transit
ORD100044,PRD5803,SEL919,Beauty,Indore,Madhya Pradesh,2024-04-26,4,1688,423,6329,COD,Returned
ORD100045,PRD6925,SEL717,Electronics,Jaipur,Maharashtra,2024-08-06,3,1344,191,3841,COD,Delivered
ORD100046,PRD4150,SEL325,Home & Kitchen,Bangalore,West Bengal,2024-02-17,4,695,381,2399,COD,Returned
ORD100047,PRD2139,SEL599,Beauty,Delhi,Tamil Nadu,2024-12-09,1,1982,181,1801,Net Banking,Returned
ORD100048,PRD1750,SEL324,Electronics,Jaipur,Telangana,2024-06-29,1,2378,108,2270,COD,Returned
ORD100049,PRD4733,SEL379,Home & Kitchen,Hyderabad,Madhya Pradesh,2024-10-11,3,770,390,1920,Net Banking,Delivered
ORD100050,PRD5741,SEL546,Home & Kitchen,Chennai,Maharashtra,2024-11-07,3,418,92,1162,Debit Card,Delivered
ORD100051,PRD2307,SEL597,Electronics,Delhi,Maharashtra,2024-04-02,2,1941,35,3847,Net Banking,Cancelled
ORD100052,PRD4814,SEL129,Electronics,Pune,Tamil Nadu,2024-07-11,4,2158,174,8458,Debit Card,Delivered
ORD100053,PRD2654,SEL498,Footwear,Delhi,Maharashtra,2024-01-27,2,944,386,1502,Debit Card,In Transit
ORD100054,PRD7227,SEL444,Beauty,Indore,Tamil Nadu,2024-12-04,4,2289,310,8846,UPI,Delivered
ORD100055,PRD5554,SEL784,Footwear,Jaipur,West Bengal,2024-06-25,4,754,145,2871,Debit Card,Delivered
ORD100056,PRD8428,SEL795,Electronics,Chennai,Telangana,2024-04-22,4,524,3,2093,UPI,Returned
ORD100057,PRD6977,SEL917,Beauty,Indore,Karnataka,2024-05-28,3,791,3,2370,UPI,In Transit
ORD100058,PRD3664,SEL514,Home & Kitchen,Mumbai,Madhya Pradesh,2024-09-29,2,2349,286,4412,COD,In Transit
ORD100059,PRD7065,SEL841,Home & Kitchen,Indore,Madhya Pradesh,2024-01-10,4,618,441,2031,Credit Card,Returned
ORD100060,PRD6820,SEL269,Home & Kitchen,Bangalore,Rajasthan,2024-02-28,4,385,494,1046,Debit Card,Delivered
ORD100061,PRD4432,SEL960,Footwear,Indore,West Bengal,2024-08-11,1,1296,223,1073,COD,In Transit
ORD100062,PRD5374,SEL578,Electronics,Mumbai,West Bengal,2024-06-07,3,1207,170,3451,COD,Cancelled
ORD100063,PRD2169,SEL230,Fashion,Bangalore,Tamil Nadu,2024-06-27,3,904,120,2592,UPI,Cancelled
ORD100064,PRD3803,SEL737,Beauty,Jaipur,Rajasthan,2024-11-04,2,608,90,1126,Net Banking,Returned
ORD100065,PRD9751,SEL646,Fashion,Jaipur,Rajasthan,2024-11-17,3,918,225,2529,Debit Card,Returned
ORD100066,PRD5010,SEL127,Fashion,Chennai,Rajasthan,2024-10-29,1,1741,259,1482,Credit Card,Delivered
ORD100067,PRD3677,SEL503,Fashion,Kolkata,Madhya Pradesh,2024-01-30,3,1475,39,4386,Credit Card,Delivered
ORD100068,PRD8573,SEL706,Footwear,Jaipur,West Bengal,2024-08-18,5,1071,164,5191,UPI,Delivered
ORD100069,PRD7216,SEL677,Fashion,Kolkata,Karnataka,2024-08-18,1,1706,365,1341,COD,Cancelled
ORD100070,PRD5422,SEL778,Footwear,Bangalore,Maharashtra,2024-12-28,4,2099,268,8128,Debit Card,Returned
ORD100071,PRD4598,SEL127,Footwear,Delhi,Maharashtra,2024-07-17,4,1685,347,6393,COD,Returned
ORD100072,PRD6313,SEL185,Home & Kitchen,Bangalore,Maharashtra,2024-02-18,5,1883,145,9270,COD,Cancelled
ORD100073,PRD1916,SEL758,Footwear,Mumbai,Tamil Nadu,2024-06-28,3,1905,66,5649,Net Banking,In Transit
ORD100074,PRD4752,SEL538,Footwear,Mumbai,Madhya Pradesh,2024-11-25,3,823,343,2126,Net Banking,Returned
ORD100075,PRD1525,SEL238,Electronics,Pune,Rajasthan,2024-01-10,3,1565,92,4603,UPI,Cancelled
ORD100076,PRD6168,SEL987,Fashion,Kolkata,West Bengal,2024-03-11,2,616,151,1081,Net Banking,Delivered
ORD100077,PRD7572,SEL572,Beauty,Bangalore,Karnataka,2024-12-04,3,836,305,2203,UPI,Cancelled
ORD100078,PRD5386,SEL286,Electronics,Jaipur,Tamil Nadu,2024-08-12,1,1982,186,1796,Credit Card,Cancelled
ORD100079,PRD2084,SEL151,Beauty,Hyderabad,Maharashtra,2024-09-30,2,1567,494,2640,Net Banking,In Transit
ORD100080,PRD4456,SEL366,Footwear,Indore,Karnataka,2024-08-24,3,1864,257,5335,UPI,Cancelled
ORD100081,PRD6155,SEL488,Home & Kitchen,Kolkata,Maharashtra,2024-05-08,1,2268,447,1821,Net Banking,Delivered
ORD100082,PRD4483,SEL435,Beauty,Kolkata,Karnataka,2024-05-25,1,956,139,817,Credit Card,Delivered
ORD100083,PRD9179,SEL316,Fashion,Indore,Delhi,2024-04-23,4,1731,476,6448,Credit Card,Returned
ORD100084,PRD7482,SEL565,Electronics,Delhi,Maharashtra,2024-04-30,4,634,191,2345,COD,Returned
ORD100085,PRD8517,SEL434,Beauty,Bangalore,Rajasthan,2024-03-15,2,456,146,766,Credit Card,Delivered
ORD100086,PRD3340,SEL445,Electronics,Kolkata,West Bengal,2024-02-10,1,1348,110,1238,Credit Card,Delivered
ORD100087,PRD5339,SEL879,Fashion,Hyderabad,Madhya Pradesh,2024-05-27,2,1533,62,3004,Net Banking,In Transit
ORD100088,PRD3287,SEL488,Footwear,Delhi,West Bengal,2024-02-02,1,2347,305,2042,Net Banking,Cancelled
ORD100089,PRD5040,SEL384,Footwear,Pune,Telangana,2024-03-14,3,2058,0,6174,Net Banking,In Transit
ORD100090,PRD9830,SEL870,Home & Kitchen,Mumbai,West Bengal,2024-04-05,1,2444,499,1945,Net Banking,Delivered
ORD100091,PRD5304,SEL951,Beauty,Pune,Tamil Nadu,2024-07-18,4,478,325,1587,COD,Returned
ORD100092,PRD8019,SEL531,Fashion,Pune,Karnataka,2024-02-04,3,1287,375,3486,COD,Returned
ORD100093,PRD7543,SEL358,Beauty,Jaipur,Karnataka,2024-10-06,3,1017,425,2626,UPI,Delivered
ORD100094,PRD6930,SEL954,Fashion,Hyderabad,Delhi,2024-08-22,1,1501,103,1398,Debit Card,Returned
ORD100095,PRD4593,SEL183,Fashion,Hyderabad,Tamil Nadu,2024-09-20,4,2239,129,8827,Debit Card,Delivered
ORD100096,PRD3266,SEL581,Home & Kitchen,Indore,Madhya Pradesh,2024-12-01,3,1419,63,4194,Credit Card,In Transit
ORD100097,PRD9348,SEL119,Beauty,Pune,West Bengal,2024-06-22,2,2332,354,4310,Debit Card,Delivered
ORD100098,PRD9085,SEL867,Electronics,Kolkata,Tamil Nadu,2024-08-05,1,2063,308,1755,Debit Card,Delivered
ORD100099,PRD2489,SEL652,Beauty,Indore,Karnataka,2024-02-10,3,1510,156,4374,Credit Card,Returned
ORD100100,PRD1771,SEL153,Beauty,Chennai,Delhi,2024-08-16,1,1744,314,1430,COD,In Transit
ORD100101,PRD2796,SEL458,Fashion,Bangalore,Rajasthan,2024-07-05,5,955,487,4288,COD,Cancelled
ORD100102,PRD3504,SEL329,Beauty,Delhi,Karnataka,2024-02-04,2,1800,185,3415,Credit Card,Returned
ORD100103,PRD3621,SEL765,Electronics,Kolkata,Maharashtra,2024-07-09,4,614,293,2163,Credit Card,Returned
ORD100104,PRD7916,SEL170,Fashion,Delhi,Karnataka,2024-11-28,3,1322,491,3475,Credit Card,In Transit
ORD100105,PRD2040,SEL899,Home & Kitchen,Jaipur,Telangana,2024-10-14,1,1372,396,976,Net Banking,Returned
ORD100106,PRD7304,SEL767,Electronics,Mumbai,Rajasthan,2024-12-21,4,1119,62,4414,UPI,In Transit
ORD100107,PRD7252,SEL141,Fashion,Kolkata,West Bengal,2024-02-14,3,1723,363,4806,Debit Card,Returned
ORD100108,PRD8668,SEL872,Electronics,Mumbai,Telangana,2024-03-21,2,1780,260,3300,UPI,Cancelled
ORD100109,PRD9669,SEL131,Footwear,Pune,Rajasthan,2024-09-09,1,1778,283,1495,Net Banking,Cancelled
ORD100110,PRD5119,SEL353,Beauty,Jaipur,West Bengal,2024-11-09,1,569,158,411,Credit Card,In Transit
ORD100111,PRD1188,SEL304,Home & Kitchen,Mumbai,Rajasthan,2024-10-21,1,813,497,316,Credit Card,Returned
ORD100112,PRD2876,SEL959,Electronics,Indore,West Bengal,2024-03-06,5,1045,393,4832,COD,Delivered
ORD100113,PRD9797,SEL120,Electronics,Pune,Telangana,2024-09-22,2,1545,84,3006,Debit Card,Returned
ORD100114,PRD5371,SEL736,Footwear,Chennai,Karnataka,2024-02-10,3,1104,325,2987,Debit Card,Delivered
ORD100115,PRD6573,SEL256,Footwear,Pune,Delhi,2024-09-14,2,931,87,1775,COD,Delivered
ORD100116,PRD2827,SEL344,Electronics,Indore,Delhi,2024-01-24,5,1384,333,6587,Credit Card,Returned
ORD100117,PRD5808,SEL229,Beauty,Chennai,Rajasthan,2024-11-24,3,2278,125,6709,COD,Delivered
ORD100118,PRD8123,SEL584,Beauty,Hyderabad,Maharashtra,2024-03-21,4,2002,247,7761,Net Banking,Cancelled
ORD100119,PRD3591,SEL785,Beauty,Bangalore,Maharashtra,2024-06-09,3,1714,499,4643,Net Banking,Delivered
ORD100120,PRD8433,SEL217,Home & Kitchen,Jaipur,Telangana,2024-06-12,2,2210,62,4358,UPI,Delivered
ORD100121,PRD1053,SEL677,Footwear,Indore,Telangana,2024-01-26,3,1873,442,5177,UPI,Returned
ORD100122,PRD5315,SEL323,Electronics,Jaipur,West Bengal,2024-10-22,3,1077,390,2841,Credit Card,In Transit
ORD100123,PRD9201,SEL576,Beauty,Kolkata,Rajasthan,2024-06-06,4,394,46,1530,UPI,Cancelled
ORD100124,PRD3927,SEL816,Home & Kitchen,Jaipur,Rajasthan,2024-10-25,3,499,25,1472,Debit Card,Delivered
ORD100125,PRD9317,SEL362,Home & Kitchen,Pune,Madhya Pradesh,2024-02-25,4,848,451,2941,Debit Card,Delivered
ORD100126,PRD2743,SEL885,Footwear,Chennai,Maharashtra,2024-07-24,1,1097,185,912,Credit Card,In Transit
ORD100127,PRD5889,SEL477,Fashion,Indore,Maharashtra,2024-10-08,3,786,65,2293,Debit Card,Returned
ORD100128,PRD9317,SEL271,Footwear,Delhi,Delhi,2024-03-14,2,2385,205,4565,COD,Cancelled
ORD100129,PRD4258,SEL720,Electronics,Kolkata,Karnataka,2024-06-19,4,2427,233,9475,Debit Card,Returned
ORD100130,PRD3504,SEL721,Home & Kitchen,Kolkata,West Bengal,2024-03-24,4,1525,303,5797,Net Banking,In Transit
ORD100131,PRD7126,SEL865,Fashion,Pune,Maharashtra,2024-12-28,5,1527,243,7392,COD,In Transit
ORD100132,PRD3646,SEL835,Beauty,Chennai,Telangana,2024-10-25,3,409,305,922,COD,In Transit
ORD100133,PRD9837,SEL217,Electronics,Delhi,Maharashtra,2024-03-28,5,1857,75,9210,UPI,Delivered
ORD100134,PRD9689,SEL896,Beauty,Hyderabad,Madhya Pradesh,2024-08-13,3,2015,77,5968,Net Banking,In Transit
ORD100135,PRD1009,SEL938,Footwear,Pune,Rajasthan,2024-02-01,2,2424,106,4742,Net Banking,In Transit
ORD100136,PRD6310,SEL267,Footwear,Pune,West Bengal,2024-06-09,2,2182,467,3897,Debit Card,Returned
ORD100137,PRD9005,SEL418,Electronics,Chennai,West Bengal,2024-11-08,4,1087,490,3858,Debit Card,Cancelled
ORD100138,PRD1319,SEL210,Beauty,Pune,Rajasthan,2024-06-01,3,1149,353,3094,Debit Card,Returned
ORD100139,PRD2832,SEL692,Beauty,Pune,Karnataka,2024-05-27,1,1855,458,1397,Debit Card,Delivered
ORD100140,PRD6947,SEL126,Beauty,Chennai,Rajasthan,2024-05-27,1,1718,473,1245,UPI,Cancelled
ORD100141,PRD6038,SEL419,Fashion,Hyderabad,Telangana,2024-10-02,3,1412,70,4166,COD,Cancelled
ORD100142,PRD4923,SEL689,Beauty,Pune,Rajasthan,2024-11-22,2,515,51,979,COD,Cancelled
ORD100143,PRD1949,SEL793,Beauty,Jaipur,Telangana,2024-01-03,5,946,208,4522,Debit Card,Returned
ORD100144,PRD4946,SEL484,Footwear,Hyderabad,West Bengal,2024-05-26,1,666,333,333,COD,Cancelled
ORD100145,PRD2290,SEL506,Beauty,Jaipur,Karnataka,2024-08-01,2,448,428,468,Debit Card,Delivered
ORD100146,PRD2403,SEL832,Home & Kitchen,Chennai,Rajasthan,2024-01-05,3,739,475,1742,Net Banking,In Transit
ORD100147,PRD8962,SEL303,Electronics,Mumbai,Maharashtra,2024-03-09,5,2217,139,10946,UPI,In Transit
ORD100148,PRD2133,SEL177,Home & Kitchen,Chennai,Telangana,2024-11-27,3,1062,7,3179,UPI,In Transit
ORD100149,PRD9727,SEL706,Beauty,Mumbai,Karnataka,2024-08-06,5,1643,44,8171,UPI,In Transit
ORD100150,PRD3060,SEL807,Beauty,Hyderabad,Rajasthan,2024-06-14,2,327,133,521,Debit Card,Returned
ORD100151,PRD3103,SEL950,Home & Kitchen,Hyderabad,Delhi,2024-06-03,5,346,133,1597,COD,In Transit
ORD100152,PRD8787,SEL742,Footwear,Chennai,Maharashtra,2024-06-06,2,1960,351,3569,Debit Card,Returned
ORD100153,PRD3705,SEL348,Electronics,Jaipur,Karnataka,2024-11-10,2,1197,490,1904,Credit Card,Returned
ORD100154,PRD5342,SEL204,Footwear,Hyderabad,Telangana,2024-07-31,5,2228,387,10753,Net Banking,Delivered
ORD100155,PRD9645,SEL813,Home & Kitchen,Mumbai,Maharashtra,2024-09-26,4,2463,360,9492,COD,Cancelled
ORD100156,PRD7932,SEL891,Home & Kitchen,Kolkata,Rajasthan,2024-10-20,5,913,84,4481,COD,Cancelled
ORD100157,PRD4470,SEL408,Footwear,Jaipur,Delhi,2024-10-25,4,672,460,2228,Credit Card,Cancelled
ORD100158,PRD9835,SEL970,Fashion,Kolkata,Rajasthan,2024-09-19,4,2171,288,8396,Debit Card,Delivered
ORD100159,PRD4295,SEL800,Electronics,Mumbai,Delhi,2024-07-21,3,312,381,555,Credit Card,Returned
ORD100160,PRD6107,SEL714,Fashion,Jaipur,Delhi,2024-12-24,1,546,478,68,Debit Card,In Transit
ORD100161,PRD7537,SEL924,Beauty,Jaipur,Madhya Pradesh,2024-04-02,2,2021,191,3851,Credit Card,Delivered
ORD100162,PRD7118,SEL223,Home & Kitchen,Mumbai,Karnataka,2024-12-15,5,844,334,3886,Net Banking,In Transit
ORD100163,PRD8177,SEL915,Fashion,Delhi,Tamil Nadu,2024-09-27,2,1212,427,1997,Credit Card,In Transit
ORD100164,PRD9479,SEL679,Beauty,Pune,Karnataka,2024-09-29,4,1240,126,4834,Debit Card,Cancelled
ORD100165,PRD8397,SEL901,Fashion,Hyderabad,Telangana,2024-02-27,1,2017,314,1703,COD,Delivered
ORD100166,PRD2982,SEL142,Fashion,Hyderabad,Delhi,2024-10-31,1,2128,306,1822,Credit Card,In Transit
ORD100167,PRD5061,SEL455,Fashion,Bangalore,West Bengal,2024-04-29,5,1189,386,5559,Debit Card,Cancelled
ORD100168,PRD4681,SEL645,Home & Kitchen,Bangalore,West Bengal,2024-10-21,3,1613,121,4718,UPI,In Transit
ORD100169,PRD2049,SEL538,Footwear,Bangalore,Madhya Pradesh,2024-06-02,3,549,285,1362,Net Banking,In Transit
ORD100170,PRD6539,SEL777,Footwear,Pune,Madhya Pradesh,2024-01-25,3,1861,402,5181,Credit Card,Cancelled
ORD100171,PRD1344,SEL479,Footwear,Jaipur,Telangana,2024-06-02,4,1053,386,3826,UPI,Returned
ORD100172,PRD4770,SEL170,Fashion,Kolkata,Madhya Pradesh,2024-12-28,2,2196,468,3924,Credit Card,Cancelled
ORD100173,PRD4608,SEL618,Home & Kitchen,Mumbai,Rajasthan,2024-07-17,2,1344,104,2584,Debit Card,Delivered
ORD100174,PRD1117,SEL763,Beauty,Delhi,Maharashtra,2024-10-01,2,511,137,885,UPI,Cancelled
ORD100175,PRD2163,SEL449,Fashion,Hyderabad,Telangana,2024-09-02,2,1663,155,3171,COD,In Transit
ORD100176,PRD1964,SEL112,Electronics,Kolkata,Maharashtra,2024-05-04,5,1137,203,5482,Debit Card,In Transit
ORD100177,PRD4750,SEL969,Home & Kitchen,Pune,West Bengal,2024-08-26,5,1771,157,8698,Credit Card,In Transit
ORD100178,PRD2104,SEL530,Electronics,Pune,Maharashtra,2024-02-20,4,1611,468,5976,Credit Card,Delivered
ORD100179,PRD1514,SEL942,Home & Kitchen,Kolkata,Madhya Pradesh,2024-10-15,2,897,8,1786,Debit Card,Cancelled
ORD100180,PRD6413,SEL601,Footwear,Hyderabad,Rajasthan,2024-04-10,3,1242,194,3532,Net Banking,Returned
ORD100181,PRD2160,SEL208,Electronics,Pune,Karnataka,2024-05-11,4,2309,235,9001,UPI,In Transit
ORD100182,PRD9423,SEL543,Fashion,Mumbai,Delhi,2024-04-04,5,540,268,2432,COD,In Transit
ORD100183,PRD4899,SEL470,Electronics,Delhi,Telangana,2024-03-11,2,578,362,794,Net Banking,In Transit
ORD100184,PRD5562,SEL750,Beauty,Delhi,Delhi,2024-07-10,1,2279,337,1942,Net Banking,In Transit
ORD100185,PRD8953,SEL948,Home & Kitchen,Kolkata,Tamil Nadu,2024-01-07,1,2468,369,2099,COD,In Transit
ORD100186,PRD4510,SEL570,Electronics,Hyderabad,Telangana,2024-04-01,1,694,268,426,Net Banking,Returned
ORD100187,PRD9834,SEL824,Home & Kitchen,Indore,Rajasthan,2024-06-30,3,1925,40,5735,Net Banking,Cancelled
ORD100188,PRD3167,SEL256,Fashion,Delhi,Maharashtra,2024-12-22,2,1528,350,2706,Credit Card,In Transit
ORD100189,PRD8744,SEL545,Fashion,Bangalore,Maharashtra,2024-07-12,5,2249,28,11217,Credit Card,In Transit
ORD100190,PRD4981,SEL280,Footwear,Delhi,Telangana,2024-11-26,3,690,458,1612,UPI,In Transit
ORD100191,PRD8749,SEL851,Home & Kitchen,Kolkata,Delhi,2024-05-18,1,604,350,254,UPI,Returned
ORD100192,PRD7669,SEL634,Beauty,Mumbai,Tamil Nadu,2024-01-09,2,890,385,1395,UPI,Cancelled
ORD100193,PRD4119,SEL766,Electronics,Mumbai,West Bengal,2024-10-17,4,1658,196,6436,Debit Card,Delivered
ORD100194,PRD2545,SEL376,Fashion,Pune,Madhya Pradesh,2024-02-20,4,1250,429,4571,Debit Card,Delivered
ORD100195,PRD2588,SEL730,Electronics,Pune,West Bengal,2024-11-20,3,2145,251,6184,Credit Card,In Transit
ORD100196,PRD8062,SEL927,Footwear,Chennai,Telangana,2024-04-05,5,1856,43,9237,COD,Delivered
ORD100197,PRD6804,SEL651,Electronics,Indore,Maharashtra,2024-05-17,2,1856,364,3348,Debit Card,Delivered
ORD100198,PRD7939,SEL893,Home & Kitchen,Chennai,Maharashtra,2024-02-16,1,1562,227,1335,UPI,Delivered
ORD100199,PRD7735,SEL595,Footwear,Kolkata,Madhya Pradesh,2024-04-05,4,2138,285,8267,COD,Delivered
ORD100200,PRD8651,SEL576,Footwear,Pune,Madhya Pradesh,2024-02-15,3,681,305,1738,COD,Returned
ORD100201,PRD1887,SEL546,Footwear,Hyderabad,West Bengal,2024-07-30,4,646,371,2213,UPI,In Transit
ORD100202,PRD2612,SEL945,Home & Kitchen,Jaipur,Karnataka,2024-03-27,2,1401,154,2648,COD,Cancelled
ORD100203,PRD1993,SEL848,Beauty,Mumbai,Maharashtra,2024-08-10,3,2024,153,5919,Debit Card,Cancelled
ORD100204,PRD7596,SEL706,Fashion,Bangalore,Tamil Nadu,2024-11-16,4,1100,234,4166,COD,In Transit
ORD100205,PRD6559,SEL374,Home & Kitchen,Jaipur,Maharashtra,2024-06-19,5,1856,411,8869,Credit Card,Cancelled
ORD100206,PRD2790,SEL430,Home & Kitchen,Bangalore,Madhya Pradesh,2024-06-02,3,1122,245,3121,Debit Card,Returned
ORD100207,PRD5073,SEL972,Beauty,Chennai,Madhya Pradesh,2024-12-21,4,1292,166,5002,Debit Card,Delivered
ORD100208,PRD4139,SEL351,Footwear,Delhi,Rajasthan,2024-10-15,2,1036,349,1723,UPI,In Transit
ORD100209,PRD4116,SEL950,Beauty,Bangalore,Tamil Nadu,2024-05-29,1,1975,344,1631,UPI,Returned
ORD100210,PRD9786,SEL188,Beauty,Mumbai,Rajasthan,2024-12-03,2,2033,404,3662,Net Banking,In Transit
ORD100211,PRD8350,SEL385,Beauty,Kolkata,Delhi,2024-10-25,4,2488,259,9693,Debit Card,Delivered
ORD100212,PRD3296,SEL561,Footwear,Delhi,Madhya Pradesh,2024-02-25,2,1754,85,3423,Debit Card,In Transit
ORD100213,PRD7912,SEL349,Electronics,Kolkata,West Bengal,2024-02-24,1,703,132,571,Net Banking,Cancelled
ORD100214,PRD4006,SEL868,Footwear,Kolkata,Karnataka,2024-08-16,3,1902,237,5469,Debit Card,Delivered
ORD100215,PRD5563,SEL575,Fashion,Mumbai,Karnataka,2024-09-04,1,1510,212,1298,Debit Card,Returned
ORD100216,PRD8579,SEL683,Beauty,Pune,Rajasthan,2024-06-24,4,1147,266,4322,COD,In Transit
ORD100217,PRD5092,SEL724,Home & Kitchen,Delhi,Maharashtra,2024-12-22,4,1606,34,6390,COD,Returned
ORD100218,PRD2235,SEL784,Electronics,Kolkata,Karnataka,2024-11-27,1,973,476,497,Net Banking,Cancelled
ORD100219,PRD8260,SEL488,Beauty,Hyderabad,Madhya Pradesh,2024-06-18,5,2046,490,9740,UPI,Cancelled
ORD100220,PRD2604,SEL444,Footwear,Hyderabad,Rajasthan,2024-11-23,4,1920,14,7666,Net Banking,In Transit
ORD100221,PRD1828,SEL129,Home & Kitchen,Mumbai,Maharashtra,2024-07-18,1,1179,105,1074,Net Banking,Cancelled
ORD100222,PRD9856,SEL606,Fashion,Chennai,Rajasthan,2024-07-06,3,1107,234,3087,Net Banking,Returned
ORD100223,PRD1241,SEL971,Fashion,Pune,Maharashtra,2024-11-01,4,1907,300,7328,Credit Card,Cancelled
ORD100224,PRD2528,SEL432,Electronics,Pune,Maharashtra,2024-12-10,3,647,344,1597,UPI,Returned
