Date,Campaign_Name,Platform,Impressions,Clicks,Spend_INR,Conversions,Revenue_INR,CTR_Percent,Conversion_Rate_Percent
2024-05-29,Festive Sale,Facebook Ads,7150,576,43185,403,86436,5.02,3.17
2024-05-30,Brand Awareness,Facebook Ads,5425,3274,18573,426,47403,6.53,12.02
2024-05-31,Brand Awareness,Facebook Ads,17032,1925,36535,35,92170,9.99,5.07
2024-06-01,Brand Awareness,Instagram,3198,1813,37674,302,10168,1.5,12.99
2024-06-02,Brand Awareness,Twitter,61500,8762,25337,410,50879,5.24,13.74
2024-06-03,Product Launch,Twitter,54394,5847,18326,499,60871,4.16,12.91
2024-06-04,Brand Awareness,Google Ads,21079,9258,25481,69,33174,8.73,0.62
2024-06-05,Festive Sale,Google Ads,37220,7149,10882,349,138653,5.02,11.83
2024-06-06,App Install,Facebook Ads,42874,5159,4937,320,111155,1.55,6.23
2024-06-07,Brand Awareness,Google Ads,14859,6694,5935,421,72853,6.53,13.12
2024-06-08,Product Launch,Instagram,51460,166,25319,468,65046,7.82,9.61
2024-06-09,Product Launch,Twitter,32419,2483,37375,49,50678,0.53,12.52
2024-06-10,Brand Awareness,Facebook Ads,9705,5513,32482,405,27649,8.66,7.54
2024-06-11,App Install,Google Ads,43880,633,33828,74,128795,2.27,8.07
2024-06-12,Brand Awareness,Instagram,24236,8636,12829,192,89668,5.74,2.25
2024-06-13,Product Launch,Instagram,88955,3838,25669,261,146639,4.45,11.78
2024-06-14,Lead Generation,Google Ads,86514,4217,22432,356,90906,7.34,6.35
2024-06-15,Festive Sale,Twitter,16358,8515,35094,70,97019,4.03,7.55
2024-06-16,Product Launch,Google Ads,95914,1439,11921,90,194016,8.76,11.8
2024-06-17,Brand Awareness,Facebook Ads,77918,8407,45533,260,79002,7.44,9.02
2024-06-18,Festive Sale,Google Ads,15596,9809,8129,126,29803,6.65,3.1
2024-06-19,Brand Awareness,Instagram,34572,6204,8825,231,150302,8.06,8.89
2024-06-20,Brand Awareness,Google Ads,79757,5470,28995,295,149934,7.66,6.17
2024-06-21,Lead Generation,Twitter,2279,8970,32250,498,175427,0.84,7.1
2024-06-22,Festive Sale,LinkedIn,64197,2093,30119,419,163331,4.25,0.52
2024-06-23,Festive Sale,Google Ads,63516,4247,40961,129,31795,9.34,3.23
2024-06-24,Lead Generation,Twitter,8083,3546,8764,280,9770,1.69,4.29
2024-06-25,Product Launch,Twitter,18771,828,13186,313,12093,7.5,10.72
2024-06-26,Brand Awareness,Instagram,30975,263,46984,100,178643,9.76,0.27
2024-06-27,App Install,Twitter,46648,3812,24726,326,132265,1.0,6.19
2024-06-28,Brand Awareness,Twitter,49285,9818,7221,297,101311,6.98,13.87
2024-06-29,Brand Awareness,Twitter,20063,6781,21109,182,18569,4.95,1.77
2024-06-30,Product Launch,Twitter,68642,3167,7873,174,12190,6.0,7.79
2024-07-01,Brand Awareness,Facebook Ads,91093,5841,39175,316,63824,1.31,11.82
2024-07-02,Lead Generation,Facebook Ads,87143,8833,49395,364,174824,0.91,14.14
2024-07-03,Lead Generation,Instagram,38599,2770,29437,188,164399,6.84,11.23
2024-07-04,Festive Sale,Google Ads,52920,8955,6156,57,43070,8.32,10.84
2024-07-05,App Install,Twitter,29529,9177,9484,31,41197,7.93,12.41
2024-07-06,Brand Awareness,Google Ads,36954,6097,30484,84,3261,5.67,6.75
2024-07-07,Brand Awareness,Google Ads,28856,8082,8786,152,158584,1.45,12.11
2024-07-08,Product Launch,Instagram,3573,51,6401,473,138788,7.04,0.22
2024-07-09,Lead Generation,Twitter,79344,6418,32052,36,87795,2.8,13.88
2024-07-10,App Install,Twitter,36367,1999,26209,213,29933,9.16,6.71
2024-07-11,Festive Sale,LinkedIn,61774,6782,31555,414,136450,8.46,8.35
2024-07-12,Lead Generation,Google Ads,24752,7883,38185,408,41583,7.24,3.9
2024-07-13,Festive Sale,Google Ads,56029,967,8929,364,113082,9.51,11.16
2024-07-14,Product Launch,Facebook Ads,18685,3224,15216,106,86371,0.8,1.24
2024-07-15,Product Launch,LinkedIn,52693,7064,49063,414,161105,7.49,13.1
2024-07-16,Brand Awareness,Facebook Ads,56961,139,11638,342,156072,3.64,12.44
2024-07-17,App Install,Facebook Ads,77908,1759,35798,220,112032,9.11,3.32
2024-07-18,Festive Sale,Facebook Ads,75532,3091,23929,391,43604,3.03,12.16
2024-07-19,Lead Generation,Instagram,82994,155,6272,163,96074,7.39,11.82
2024-07-20,Product Launch,Instagram,57133,9128,48744,439,74869,8.84,9.52
2024-07-21,Brand Awareness,Facebook Ads,98425,8669,49019,220,6410,0.9,5.67
2024-07-22,Brand Awareness,LinkedIn,62268,1945,36232,270,84375,4.28,4.15
2024-07-23,Festive Sale,Google Ads,93201,6140,40405,120,188116,7.74,3.55
2024-07-24,Product Launch,LinkedIn,39243,8558,17847,394,195387,4.82,4.85
2024-07-25,App Install,Twitter,58384,6132,17420,336,97055,3.04,13.56
2024-07-26,Product Launch,Instagram,32653,684,32322,400,138868,2.59,1.26
2024-07-27,Festive Sale,Google Ads,27657,1975,47159,182,87716,1.75,12.45
2024-07-28,Festive Sale,Google Ads,40952,2106,40608,479,55245,8.64,5.3
2024-07-29,Product Launch,Twitter,23180,6967,24063,106,44056,5.97,7.87
2024-07-30,Festive Sale,Twitter,98432,3194,8467,217,149781,1.23,11.94
2024-07-31,Product Launch,Facebook Ads,79411,9681,45683,205,59557,4.13,13.28
2024-08-01,Lead Generation,Instagram,2622,602,12371,70,18543,3.99,5.24
2024-08-02,Product Launch,Instagram,49756,8957,29263,44,169490,2.23,6.98
2024-08-03,Product Launch,LinkedIn,41809,5433,12416,329,97038,4.64,6.28
2024-08-04,Festive Sale,Facebook Ads,17725,3961,9234,301,148796,3.65,0.3
2024-08-05,Festive Sale,Facebook Ads,62396,9955,34113,228,4828,3.75,4.51
2024-08-06,Brand Awareness,Facebook Ads,52226,3439,28679,184,117656,7.52,6.94
2024-08-07,Brand Awareness,Facebook Ads,82182,9349,35762,107,18087,2.62,6.23
2024-08-08,Lead Generation,Instagram,83565,8492,13177,84,144677,6.6,10.86
2024-08-09,Brand Awareness,Instagram,30402,2480,18768,338,32337,5.92,5.83
2024-08-10,Product Launch,Facebook Ads,5263,508,12830,250,137554,5.9,7.39
2024-08-11,Festive Sale,LinkedIn,97523,257,21233,363,66333,6.8,6.5
2024-08-12,Brand Awareness,Google Ads,47828,949,38447,441,183024,5.71,11.14
2024-08-13,Brand Awareness,Google Ads,48924,71,27786,21,137535,8.85,12.96
2024-08-14,Lead Generation,LinkedIn,75182,8651,7110,196,71448,6.92,8.03
2024-08-15,Lead Generation,Facebook Ads,94065,944,6930,178,5648,5.7,11.86
2024-08-16,Product Launch,Instagram,60052,564,40422,417,131576,8.38,4.52
2024-08-17,Festive Sale,Google Ads,12664,7344,14328,475,34623,6.26,8.17
2024-08-18,Lead Generation,Twitter,36737,4954,43413,7,191228,3.27,5.24
2024-08-19,Brand Awareness,Twitter,90563,7917,31997,70,36634,2.47,6.27
2024-08-20,Festive Sale,LinkedIn,30373,4159,39756,127,176674,1.95,11.01
2024-08-21,Festive Sale,Facebook Ads,37397,7229,37118,399,115598,9.04,13.24
2024-08-22,Brand Awareness,Google Ads,87145,1610,46832,466,50334,7.25,1.91
2024-08-23,Lead Generation,Facebook Ads,39709,1316,27026,160,69648,9.41,9.56
2024-08-24,Brand Awareness,Google Ads,62120,3688,30658,248,23054,6.23,8.77
2024-08-25,Festive Sale,LinkedIn,20250,8991,25532,203,71028,5.0,1.86
2024-08-26,App Install,LinkedIn,22172,3477,38346,148,23207,1.07,3.26
2024-08-27,App Install,Twitter,12555,4830,45436,472,82554,6.88,4.73
2024-08-28,Product Launch,Facebook Ads,88410,1977,30294,143,153458,6.03,2.59
2024-08-29,Brand Awareness,Twitter,79617,2406,5948,432,84276,9.91,3.73
2024-08-30,Brand Awareness,Facebook Ads,54276,4840,29361,199,191590,2.77,4.09
2024-08-31,Product Launch,Twitter,58492,356,28641,405,53781,5.54,5.1
2024-09-01,Product Launch,Instagram,54002,8029,9574,426,184852,6.68,11.27
2024-09-02,Product Launch,Instagram,90599,3715,6906,154,193512,6.62,8.62
2024-09-03,Festive Sale,Instagram,73355,7107,32323,492,176271,5.83,14.8
2024-09-04,Brand Awareness,Instagram,92248,711,23791,376,62035,7.88,6.28
2024-09-05,Festive Sale,Google Ads,25762,4694,42068,384,9210,2.45,11.33
2024-09-06,Product Launch,Instagram,12046,8553,32503,142,45363,7.39,13.08
2024-09-07,Brand Awareness,LinkedIn,97999,2970,47351,313,79279,6.39,10.22
2024-09-08,Festive Sale,LinkedIn,29769,9324,34906,165,192420,9.01,6.24
2024-09-09,Festive Sale,Google Ads,54302,8996,23812,314,187356,8.55,11.33
2024-09-10,Product Launch,Instagram,24150,6286,43608,21,154504,3.49,3.13
2024-09-11,Brand Awareness,Instagram,69247,6128,1882,82,196161,3.12,4.98
2024-09-12,Product Launch,Instagram,5853,402,34671,69,187470,9.83,8.25
2024-09-13,Brand Awareness,Twitter,95613,9144,42279,131,135393,5.51,8.67
2024-09-14,App Install,Facebook Ads,90399,7055,3792,87,82348,9.11,0.43
2024-09-15,Lead Generation,Twitter,22792,208,42279,218,169455,2.06,14.18
2024-09-16,Lead Generation,Facebook Ads,60129,1006,33687,421,114816,6.61,10.48
2024-09-17,Lead Generation,Instagram,75478,2121,12911,472,124053,8.19,7.49
2024-09-18,Product Launch,Instagram,68298,8645,37785,305,184965,9.5,14.0
2024-09-19,App Install,Twitter,32987,9629,15922,403,167892,3.7,6.64
2024-09-20,Brand Awareness,Twitter,16850,3503,42968,371,67262,7.39,14.71
2024-09-21,Festive Sale,Facebook Ads,13112,6725,32871,345,135832,5.62,7.73
2024-09-22,Brand Awareness,LinkedIn,25058,1005,6193,341,154262,1.08,1.8
2024-09-23,Festive Sale,Facebook Ads,46420,6345,34035,384,68411,7.05,11.5
2024-09-24,Brand Awareness,Twitter,39890,1762,15318,396,24377,7.06,10.22
2024-09-25,App Install,Twitter,67017,4753,31738,445,178809,9.34,11.62
2024-09-26,Festive Sale,Google Ads,48304,6613,31374,425,39211,5.22,14.28
2024-09-27,Product Launch,Twitter,33921,9515,27215,161,4744,2.69,11.67
2024-09-28,Brand Awareness,Google Ads,2524,5681,28105,178,25995,0.92,9.21
2024-09-29,Brand Awareness,LinkedIn,16048,9683,34817,117,149049,4.45,12.87
2024-09-30,Festive Sale,Facebook Ads,36111,1444,31674,196,35542,3.37,10.13
2024-10-01,Product Launch,Facebook Ads,38904,9511,10456,383,11651,7.73,6.18
2024-10-02,Product Launch,Google Ads,55912,4782,39408,490,100239,3.87,13.3
2024-10-03,App Install,Facebook Ads,35008,3764,11337,327,79931,9.52,3.41
2024-10-04,Product Launch,Twitter,1060,579,4216,86,103112,9.64,10.75
2024-10-05,Product Launch,Instagram,75666,3008,4981,289,17715,6.4,13.24
2024-10-06,Product Launch,Google Ads,84559,7954,24782,81,176481,9.32,11.0
2024-10-07,Lead Generation,Facebook Ads,56337,3641,7048,152,156378,7.73,10.49
2024-10-08,App Install,Google Ads,14350,6945,38105,61,151158,5.7,11.31
2024-10-09,Brand Awareness,Google Ads,25354,9181,8258,61,146448,2.21,7.03
2024-10-10,Festive Sale,Instagram,46186,575,44168,354,62350,4.86,13.13
2024-10-11,Brand Awareness,Twitter,29145,6527,23677,28,72425,5.83,3.13
2024-10-12,App Install,Google Ads,35020,51,24522,442,168708,8.71,2.0
2024-10-13,Festive Sale,Facebook Ads,87123,424,41261,43,87120,5.07,4.35
2024-10-14,App Install,LinkedIn,76186,4698,6042,169,115889,9.03,8.02
2024-10-15,Product Launch,Google Ads,86469,2415,25976,423,183721,6.91,7.71
2024-10-16,Festive Sale,Google Ads,21581,1575,31284,86,166682,1.8,12.33
2024-10-17,Product Launch,Instagram,89929,1696,23240,177,142130,9.95,6.13
2024-10-18,Brand Awareness,Twitter,24051,63,25317,17,75637,5.51,7.32
2024-10-19,Brand Awareness,LinkedIn,52474,4649,48096,98,71194,4.22,0.3
2024-10-20,Festive Sale,Facebook Ads,92748,2328,16552,454,77917,6.76,6.21
2024-10-21,Festive Sale,LinkedIn,70626,3205,35653,494,65200,1.53,9.75
2024-10-22,App Install,Facebook Ads,7960,8371,47576,198,106848,6.55,0.33
2024-10-23,App Install,Twitter,36772,3864,1171,98,107022,5.23,4.29
2024-10-24,Product Launch,Facebook Ads,22520,3266,663,65,178691,4.36,3.2
2024-10-25,Festive Sale,Instagram,50481,8269,41924,330,149226,9.55,0.73
2024-10-26,Brand Awareness,Instagram,37408,2163,44502,341,151611,5.46,7.24
2024-10-27,App Install,Instagram,95006,9494,5295,5,61058,2.58,2.81
2024-10-28,App Install,Instagram,58134,4406,11134,2,63068,4.86,11.17
2024-10-29,Brand Awareness,LinkedIn,21491,5593,5298,22,100932,9.23,12.73
2024-10-30,App Install,Twitter,2341,4605,22920,112,162445,2.17,8.23
2024-10-31,Product Launch,Facebook Ads,45623,7112,29800,57,165226,2.53,14.73
2024-11-01,Festive Sale,Facebook Ads,91327,3424,24845,66,138103,0.62,6.81
2024-11-02,Brand Awareness,Instagram,1338,6480,11249,330,23785,0.63,7.75
2024-11-03,Festive Sale,Instagram,72431,3516,39095,98,160741,8.38,14.84
2024-11-04,App Install,Google Ads,13254,3131,25621,144,95475,7.46,3.55
2024-11-05,App Install,Twitter,52860,679,37987,368,3282,3.87,14.14
2024-11-06,Brand Awareness,LinkedIn,12344,319,28911,435,166696,7.13,0.74
2024-11-07,Product Launch,Facebook Ads,2750,5774,33861,125,180510,4.25,6.75
2024-11-08,Lead Generation,Google Ads,55756,5947,21723,167,68534,9.55,1.14
2024-11-09,Brand Awareness,Google Ads,68957,3482,7894,86,163777,9.69,10.97
2024-11-10,Lead Generation,Facebook Ads,59053,9522,14556,76,170316,4.23,9.17
2024-11-11,Lead Generation,LinkedIn,71855,6326,28880,344,75964,8.62,10.63
2024-11-12,Product Launch,Google Ads,16896,5945,26535,495,169509,7.84,5.68
2024-11-13,Lead Generation,Google Ads,56761,7165,31120,424,120006,3.44,5.61
2024-11-14,Lead Generation,Twitter,63552,6706,20377,294,51583,2.7,0.78
2024-11-15,Product Launch,LinkedIn,78454,625,43904,444,39392,4.85,5.31
2024-11-16,Lead Generation,Google Ads,91600,7079,31411,59,8461,7.92,13.95
2024-11-17,Lead Generation,LinkedIn,28935,6149,33284,138,101123,9.62,5.75
2024-11-18,Lead Generation,Facebook Ads,38641,9549,3691,99,11516,7.75,12.49
2024-11-19,Brand Awareness,Instagram,30711,3242,33660,192,149586,8.62,12.65
2024-11-20,Brand Awareness,Google Ads,71342,3228,25500,243,122251,6.23,5.66
2024-11-21,Brand Awareness,Twitter,13182,6102,39540,319,168340,8.44,9.52
2024-11-22,Product Launch,Facebook Ads,88833,2784,4131,49,168860,7.95,1.52
2024-11-23,App Install,LinkedIn,57276,6166,6672,448,193121,4.08,1.64
2024-11-24,Lead Generation,Facebook Ads,20541,3618,42580,32,63493,5.74,0.82
2024-11-25,Lead Generation,Google Ads,95457,9897,24061,391,37027,8.15,8.76
2024-11-26,Product Launch,LinkedIn,83310,9821,25317,277,94547,0.94,6.45
2024-11-27,Lead Generation,Instagram,45813,2253,20781,20,174921,8.18,8.27
2024-11-28,Brand Awareness,Facebook Ads,38198,1440,29171,154,101127,2.19,7.86
