Country,Date,Confirmed_Cases,Recovered_Cases,Deaths,Active_Cases,Tests_Conducted,Vaccinated,Gender
USA,2020-04-26,423670,165138,8503,110219,553370,208015,Other
USA,2020-04-27,276087,11296,8931,8175,910719,96111,Male
Brazil,2020-04-28,114165,438824,3242,36109,614858,340402,Other
Canada,2020-04-29,333970,411647,546,103459,626303,406140,Other
Italy,2020-04-30,17740,389990,4347,148209,733176,69286,Female
Australia,2020-05-01,52628,429721,9997,5754,871020,93269,Male
Canada,2020-05-02,300657,92313,3811,191698,148603,258635,Female
Germany,2020-05-03,259314,397284,7207,111329,875772,74071,Female
USA,2020-05-04,314882,11352,9006,158330,619727,450542,Female
Germany,2020-05-05,446052,329700,2033,118566,963361,221095,Female
Canada,2020-05-06,110233,41207,8437,197146,142214,30651,Female
Australia,2020-05-07,368601,54967,272,171004,640341,70202,Female
Australia,2020-05-08,200038,223860,3512,157045,573643,48777,Female
India,2020-05-09,150259,96696,1772,114094,404082,148066,Male
Australia,2020-05-10,172602,345316,9455,29215,202139,329407,Other
Italy,2020-05-11,155676,286713,4362,67253,759994,190706,Female
Australia,2020-05-12,400430,343104,7070,4164,650714,100158,Female
Canada,2020-05-13,341103,382624,921,196087,589315,272944,Female
India,2020-05-14,361901,333518,8191,36371,452122,299967,Female
Canada,2020-05-15,404291,267602,3431,73347,160210,239647,Female
Canada,2020-05-16,11123,59429,4436,96702,93601,326022,Female
UK,2020-05-17,21547,25103,3761,99354,30956,280852,Other
India,2020-05-18,483785,402712,2051,156548,239340,143891,Other
Canada,2020-05-19,388143,132044,1166,17822,630085,205977,Female
UK,2020-05-20,286203,98773,8568,103804,912349,63870,Other
UK,2020-05-21,66303,51406,2034,3762,913735,9283,Male
India,2020-05-22,381400,272983,6468,132489,470511,161645,Female
Germany,2020-05-23,160875,359914,146,115192,661799,340851,Male
Italy,2020-05-24,9437,328850,4389,91786,965745,424149,Male
Australia,2020-05-25,46527,306222,7833,51974,829965,5774,Female
Italy,2020-05-26,323773,326678,8624,3776,422486,203127,Other
Australia,2020-05-27,364267,32204,8897,89202,604103,142055,Male
Canada,2020-05-28,346909,213992,8174,27773,40279,96468,Female
USA,2020-05-29,105887,264530,2633,127019,372931,358478,Male
India,2020-05-30,163093,365871,4495,100544,942392,280277,Male
Italy,2020-05-31,295551,329973,8057,140230,149702,408155,Male
Italy,2020-06-01,420671,281223,7512,35693,62063,781,Male
Canada,2020-06-02,496584,321395,9156,162446,774887,114586,Other
Germany,2020-06-03,127116,32315,1829,103946,255311,449916,Male
UK,2020-06-04,267079,365110,9131,140049,653184,289768,Male
Canada,2020-06-05,20259,243372,4806,93730,691504,6823,Male
France,2020-06-06,497662,174994,807,96596,446377,18489,Other
UK,2020-06-07,178777,46247,9656,153565,490934,171033,Male
India,2020-06-08,384034,387927,7487,80023,520089,291262,Male
UK,2020-06-09,367860,448446,8203,63499,747434,100417,Other
Germany,2020-06-10,431404,154832,1869,109884,209432,81816,Other
UK,2020-06-11,340996,160608,7879,191355,183051,153335,Other
India,2020-06-12,317528,71957,5691,25587,98661,275709,Male
Germany,2020-06-13,319287,391070,7828,77626,925483,151426,Other
Italy,2020-06-14,166719,203017,5430,107572,944693,174023,Other
Italy,2020-06-15,359251,326629,9077,22662,698960,353323,Male
Australia,2020-06-16,82944,302825,3565,6521,453776,23648,Other
UK,2020-06-17,27632,391232,1390,166753,472256,443945,Male
Italy,2020-06-18,165521,232654,7275,31398,124257,41971,Female
India,2020-06-19,122502,282297,825,195854,980062,18658,Other
Brazil,2020-06-20,118112,64822,2266,1227,873637,21253,Female
Brazil,2020-06-21,438761,126158,937,135882,270054,457382,Male
Germany,2020-06-22,399029,14432,6403,32829,976217,179635,Other
Italy,2020-06-23,56278,84341,3846,21686,834289,157462,Male
Italy,2020-06-24,49507,363389,1797,81939,560252,350808,Female
Brazil,2020-06-25,463656,134878,8246,53601,419443,182650,Male
Italy,2020-06-26,51090,282803,7215,142678,924482,210097,Other
UK,2020-06-27,468988,147600,727,158720,804585,103850,Other
France,2020-06-28,129573,232100,2737,142685,322909,425874,Female
USA,2020-06-29,458861,432932,1914,46869,755444,137924,Male
Australia,2020-06-30,478107,337877,9789,73820,633500,226058,Other
Germany,2020-07-01,320385,386908,7658,158088,564359,133623,Female
France,2020-07-02,417109,130380,2467,191011,113990,334091,Other
Brazil,2020-07-03,318814,71365,9042,158109,70519,61001,Other
Italy,2020-07-04,226256,340028,7313,78764,10503,180231,Male
Australia,2020-07-05,169064,388399,8195,189470,192775,122775,Other
Italy,2020-07-06,1115,14203,7907,24646,982883,444923,Male
India,2020-07-07,61913,76375,4877,164296,620745,33243,Other
India,2020-07-08,27812,240823,7288,64156,714226,152872,Female
Australia,2020-07-09,100597,406265,893,59232,148977,338083,Other
Australia,2020-07-10,401731,55368,4676,87213,571126,319972,Male
Brazil,2020-07-11,243026,394080,1934,39360,912632,261716,Male
Australia,2020-07-12,112916,377227,1381,56138,452495,400455,Female
UK,2020-07-13,128878,76127,1291,128853,614777,268854,Other
Italy,2020-07-14,62392,352668,1641,140028,27806,414600,Other
France,2020-07-15,286077,133565,7491,36964,177072,414254,Female
Canada,2020-07-16,135330,207038,9180,110400,416384,171918,Other
Australia,2020-07-17,193852,335513,1219,45429,71119,219055,Other
Germany,2020-07-18,282553,125935,5017,168772,826146,461037,Male
India,2020-07-19,269214,371971,6882,178003,186165,300135,Other
UK,2020-07-20,334718,17418,9548,46463,842851,210129,Other
Canada,2020-07-21,480020,146450,9753,137134,967649,400187,Female
France,2020-07-22,308784,188064,9611,181237,630720,422355,Female
Canada,2020-07-23,151556,91801,955,7201,471641,347589,Male
Australia,2020-07-24,280261,230253,9176,57766,880381,208139,Other
Brazil,2020-07-25,338124,289500,7292,93797,472027,80257,Other
India,2020-07-26,105670,171037,975,167500,920965,477958,Other
India,2020-07-27,270946,299413,4134,173774,408507,299855,Male
Brazil,2020-07-28,393700,212001,5371,144589,703164,6530,Male
Italy,2020-07-29,504,195766,3973,162132,864403,273260,Female
USA,2020-07-30,434259,60329,5296,122049,880903,65794,Male
UK,2020-07-31,179098,315222,9106,114843,852378,393498,Other
India,2020-08-01,422505,366457,8229,185813,886421,210545,Other
Germany,2020-08-02,275007,176,9904,195279,85080,132970,Male
India,2020-08-03,149556,314523,3021,108227,253791,4135,Other
Canada,2020-08-04,191272,27682,8988,12339,979836,399845,Other
India,2020-08-05,360386,196432,4037,176098,78794,371616,Male
India,2020-08-06,141032,109995,5069,174718,293985,387291,Male
USA,2020-08-07,235465,317370,5234,154293,125447,478336,Other
USA,2020-08-08,342886,250919,9517,86415,121029,250870,Other
France,2020-08-09,50712,217188,318,114064,180830,89087,Other
Italy,2020-08-10,285818,175449,2397,175261,508942,196103,Female
Germany,2020-08-11,285768,134919,2163,179835,339416,295524,Female
India,2020-08-12,200344,179004,2746,160856,562931,392095,Female
India,2020-08-13,273160,144840,1592,72638,968912,279215,Male
UK,2020-08-14,4909,34610,6184,63696,307094,20074,Female
USA,2020-08-15,163373,338783,3931,3704,188921,221796,Male
Germany,2020-08-16,184502,284310,1313,18793,363644,67843,Male
France,2020-08-17,144628,429510,9478,48418,684404,39901,Female
Italy,2020-08-18,449713,132767,4312,137563,499685,273349,Female
Brazil,2020-08-19,383532,178645,7315,119785,388732,448877,Female
Italy,2020-08-20,38865,124135,2384,155733,541285,386805,Other
Canada,2020-08-21,428132,379912,3240,119941,867183,268050,Female
India,2020-08-22,307350,281450,2140,108021,623893,395807,Other
France,2020-08-23,316176,100208,1705,12199,942415,387720,Male
Canada,2020-08-24,410416,184295,6925,100152,842965,62987,Other
Germany,2020-08-25,319335,168552,363,59239,345710,456586,Female
Brazil,2020-08-26,22049,432548,2605,152797,751230,342829,Male
USA,2020-08-27,201252,381913,9909,71081,670931,372598,Male
France,2020-08-28,299988,330438,4287,42718,633543,367631,Male
France,2020-08-29,176715,142816,3739,144795,785586,54400,Other
India,2020-08-30,370563,318458,2470,88254,452157,156222,Female
Australia,2020-08-31,92293,57595,4796,196551,59005,31852,Male
France,2020-09-01,36287,301418,6151,154791,218322,436086,Male
UK,2020-09-02,138411,360139,557,165190,190784,314900,Male
Brazil,2020-09-03,386698,13274,9018,140557,568829,377501,Other
Brazil,2020-09-04,276733,40788,2809,183371,24387,119052,Other
UK,2020-09-05,189189,418416,5151,37434,881412,56481,Female
UK,2020-09-06,61977,325925,7562,81979,705268,263427,Other
UK,2020-09-07,436441,180810,2720,128009,86457,33691,Male
Brazil,2020-09-08,312166,239740,6507,76203,145129,394341,Female
Italy,2020-09-09,94174,139699,3742,75438,589316,198137,Male
Brazil,2020-09-10,163221,8120,9767,31451,644534,26170,Male
Australia,2020-09-11,37231,126211,3999,119553,318875,8438,Other
India,2020-09-12,436260,8716,2404,127884,681218,282239,Female
Canada,2020-09-13,115865,319955,8781,34134,180761,147226,Other
Italy,2020-09-14,336207,298562,9740,110691,569926,401220,Other
USA,2020-09-15,106984,137905,295,105161,485814,271896,Female
Canada,2020-09-16,126017,41964,5344,186948,178558,55426,Male
India,2020-09-17,286529,201629,9883,167573,545855,239968,Male
Australia,2020-09-18,299870,127788,1137,138349,423955,288963,Female
Australia,2020-09-19,173980,247015,2065,163032,583092,495384,Male
USA,2020-09-20,481780,329720,7010,36091,371965,354195,Female
Italy,2020-09-21,447187,439031,4544,88970,4754,155289,Female
UK,2020-09-22,281442,282150,1008,65731,552332,261501,Other
Italy,2020-09-23,413074,219017,5446,81621,68260,219780,Female
Australia,2020-09-24,15354,308434,5353,196603,67912,295138,Other
Brazil,2020-09-25,44338,383202,9440,199698,257695,146108,Male
India,2020-09-26,1352,430414,1436,127606,533994,208347,Male
USA,2020-09-27,302008,94320,572,195296,796326,97756,Male
India,2020-09-28,339953,266951,2383,26210,936541,442632,Male
Germany,2020-09-29,430757,19147,9438,17683,347130,402803,Other
Germany,2020-09-30,485550,141517,5085,17064,869374,95665,Male
Italy,2020-10-01,315926,147363,278,80582,707972,131717,Female
Australia,2020-10-02,321738,366086,7060,49154,30725,162002,Female
Australia,2020-10-03,81417,158818,1888,172743,137998,261691,Female
UK,2020-10-04,327459,246776,1266,77281,105555,81835,Other
UK,2020-10-05,78687,332674,7492,68438,262486,122232,Male
UK,2020-10-06,498501,46213,1041,16064,796928,423306,Male
Brazil,2020-10-07,7049,19866,9110,92628,581735,218561,Male
Canada,2020-10-08,238997,443106,8074,164877,889036,445358,Other
France,2020-10-09,317637,233669,9078,40440,686166,243051,Female
Canada,2020-10-10,204725,315047,2753,23761,875631,157547,Female
India,2020-10-11,138113,156039,8214,91708,566609,412104,Male
Canada,2020-10-12,26034,96781,4570,58043,778401,43732,Female
Brazil,2020-10-13,416702,152688,6354,158335,234103,212695,Female
India,2020-10-14,256534,206574,2354,188906,983599,308449,Other
Canada,2020-10-15,455202,62873,7438,7471,416872,177109,Other
Brazil,2020-10-16,337989,151928,4800,17777,56147,9346,Other
France,2020-10-17,476567,206642,687,112468,616684,262731,Other
Canada,2020-10-18,356700,1809,8477,4408,443882,12763,Male
Brazil,2020-10-19,315657,257214,4812,65158,476584,190237,Other
UK,2020-10-20,450116,435215,8955,94068,301931,238553,Female
Australia,2020-10-21,359483,354568,5347,124507,245839,331759,Male
UK,2020-10-22,304562,133604,5044,163239,457162,429332,Female
Australia,2020-10-23,250975,286636,2429,31960,547015,120987,Female
USA,2020-10-24,463489,426985,5127,126938,764711,216823,Female
USA,2020-10-25,70490,93551,8221,55804,96081,91353,Other
USA,2020-10-26,183501,264273,9099,193560,385865,221373,Other
France,2020-10-27,253590,395983,7814,109897,766418,357792,Male
UK,2020-10-28,43188,59726,9646,160493,593344,25556,Male
Australia,2020-10-29,248040,421218,3357,182623,659441,321186,Other
Brazil,2020-10-30,365440,217566,8708,192068,690556,18099,Female
India,2020-10-31,433127,173582,7267,38517,693095,371233,Male
Brazil,2020-11-01,317723,90447,6541,148747,761109,176168,Other
India,2020-11-02,216564,72897,39,33943,81102,203058,Other
Germany,2020-11-03,218541,93657,3343,76379,998082,144302,Other
Brazil,2020-11-04,282207,220228,9079,31057,157570,422225,Female
Canada,2020-11-05,317367,149571,2845,170654,602153,202041,Other
Canada,2020-11-06,126011,426802,1099,54303,688016,33866,Other
Italy,2020-11-07,364712,64127,7028,12373,68695,105400,Other
UK,2020-11-08,223877,300452,1824,111385,432116,346390,Other
India,2020-11-09,335721,179424,3156,112406,522608,339119,Male
India,2020-11-10,276632,257059,3094,110994,118235,435071,Male
UK,2020-11-11,5669,422131,5659,145332,441917,343701,Other
France,2020-11-12,69936,137767,3779,16506,634065,137488,Female
Italy,2020-11-13,104673,381965,2897,31417,20033,72516,Male
France,2020-11-14,429902,38050,989,54674,517409,186987,Other
France,2020-11-15,258190,26787,4117,141228,667165,411274,Male
France,2020-11-16,143187,273679,6447,68058,692211,469853,Male
UK,2020-11-17,45102,300759,4180,125976,552120,433934,Female
France,2020-11-18,247766,418788,1683,115445,195509,294746,Other
Canada,2020-11-19,137426,381808,5627,116542,378869,467874,Other
USA,2020-11-20,410460,327349,7425,72290,146016,471328,Female
Germany,2020-11-21,155386,186290,934,64365,283017,189139,Female
India,2020-11-22,498970,52537,3599,10806,565660,158588,Other
India,2020-11-23,211891,392142,1981,199133,90464,129295,Other
Germany,2020-11-24,202946,274536,3057,36428,671739,87969,Female
UK,2020-11-25,137262,303000,8985,135377,118322,132161,Male
Brazil,2020-11-26,142809,310964,792,145606,693111,430562,Male
UK,2020-11-27,153587,78673,5391,125753,887514,205735,Female
India,2020-11-28,24171,365371,6636,56599,746182,141559,Male
India,2020-11-29,58343,393220,2256,165625,792542,262299,Female
Germany,2020-11-30,388071,337823,3611,73844,448557,123950,Male
France,2020-12-01,370459,383187,1608,45163,799519,329638,Male
UK,2020-12-02,172412,183725,5180,74119,417978,76229,Other
Australia,2020-12-03,257318,389138,6574,136371,870049,104648,Other
Germany,2020-12-04,214979,213096,985,150323,625771,38547,Male
Canada,2020-12-05,363814,105997,5777,125591,524886,28795,Male
India,2020-12-06,426750,288593,3677,189698,534884,186368,Other
Germany,2020-12-07,331968,128227,3381,9736,235627,21447,Other
UK,2020-12-08,377603,216504,8712,53413,632827,167670,Other
India,2020-12-09,337941,109625,8783,97593,543601,435030,Female
Brazil,2020-12-10,28832,373098,1051,131783,900607,221823,Male
Germany,2020-12-11,121565,207656,3634,175965,722909,256190,Other
Italy,2020-12-12,404630,448372,6343,95723,115914,206402,Male
India,2020-12-13,417270,292872,960,192085,548993,252419,Female
UK,2020-12-14,57208,76268,6060,42878,723724,229817,Female
USA,2020-12-15,480360,63280,8885,48654,860877,350104,Other
Australia,2020-12-16,480821,245806,5656,10576,104892,325422,Female
France,2020-12-17,111295,336249,4474,68960,735005,55077,Male
UK,2020-12-18,365325,449639,2947,25642,265167,112782,Other
Canada,2020-12-19,36768,162602,7726,29032,644942,102932,Male
Canada,2020-12-20,285305,334452,527,257,191868,465122,Male
USA,2020-12-21,341496,40036,3225,88783,81073,402744,Female
France,2020-12-22,39849,155282,1876,125032,879629,487028,Female
Italy,2020-12-23,130660,347789,1764,68669,589717,443316,Female
USA,2020-12-24,366924,101408,8713,160450,105195,372013,Female
USA,2020-12-25,148079,327123,5798,46529,717987,401395,Female
India,2020-12-26,149949,73556,9209,151225,34848,310925,Other
Canada,2020-12-27,224401,34961,7100,171013,956308,186339,Male
India,2020-12-28,51845,349321,5110,141876,933883,475595,Male
Australia,2020-12-29,370708,425087,6645,81487,978168,417168,Male
France,2020-12-30,91965,206161,117,98590,290910,315942,Male
Italy,2020-12-31,374672,375647,2434,73032,69099,98696,Female
Italy,2021-01-01,212990,84508,5464,102797,430276,50939,Male
UK,2021-01-02,23724,12225,584,187044,70122,291660,Other
USA,2021-01-03,23421,381429,8587,48281,672447,187598,Other
Australia,2021-01-04,403804,316965,3789,29351,574156,141521,Male
Canada,2021-01-05,284818,389351,4168,193833,644407,50290,Male
Italy,2021-01-06,398556,121350,8466,172445,417441,388832,Other
Australia,2021-01-07,174393,86975,1390,18802,882718,348805,Other
Brazil,2021-01-08,403794,244496,8358,98502,269787,335098,Female
Brazil,2021-01-09,259227,66408,9760,144517,487275,284890,Other
India,2021-01-10,186817,410593,6155,121287,299871,67990,Female
Canada,2021-01-11,412578,47107,5421,56323,929509,58810,Female
UK,2021-01-12,381075,268344,8921,91928,110079,118362,Female
Italy,2021-01-13,183968,266619,2044,4945,853129,476513,Female
USA,2021-01-14,135604,254776,4198,120018,17029,146295,Female
USA,2021-01-15,95357,278226,3497,115750,247353,465453,Male
Italy,2021-01-16,64391,2248,779,76609,408442,133669,Other
France,2021-01-17,210276,184516,214,10749,195718,196749,Female
UK,2021-01-18,190571,413345,3763,196183,979107,264803,Other
Australia,2021-01-19,389844,167342,9769,9765,422947,86516,Other
France,2021-01-20,473030,435140,6732,19219,372602,74567,Female
France,2021-01-21,312672,144981,3118,118463,897816,277181,Male
India,2021-01-22,218903,443726,5792,147285,69926,126498,Female
Brazil,2021-01-23,393618,162541,8784,119314,662357,177810,Male
France,2021-01-24,475874,381059,2721,5832,318650,497181,Other
France,2021-01-25,393371,401971,8906,124531,865661,464894,Male
Germany,2021-01-26,111417,436146,9128,35635,444031,12109,Male
India,2021-01-27,139889,260960,6048,30732,43092,284154,Male
Canada,2021-01-28,389693,23286,8033,178986,325683,270931,Other
Germany,2021-01-29,290943,88005,2,130042,984581,239472,Other
Germany,2021-01-30,73786,216636,6369,84466,153889,139544,Male
Italy,2021-01-31,67761,103195,1950,186236,694221,246183,Male
Brazil,2021-02-01,44347,146480,6733,127860,538716,154455,Female
France,2021-02-02,245221,230835,7834,38117,176006,323853,Male
Brazil,2021-02-03,147920,94964,918,173807,771915,463001,Female
UK,2021-02-04,367357,365064,3175,18123,770727,244325,Male
Italy,2021-02-05,266865,208040,7015,36085,142330,34518,Female
Canada,2021-02-06,146206,378437,90,196099,58775,53909,Other
Brazil,2021-02-07,259030,14646,1710,90423,737940,280495,Male
USA,2021-02-08,398442,426838,3042,83412,268613,200696,Male
UK,2021-02-09,136294,132401,106,90567,291998,446546,Male
India,2021-02-10,280274,194319,9079,65500,662616,15282,Male
Canada,2021-02-11,345082,373690,8620,10432,780446,478082,Female
UK,2021-02-12,346961,392467,1896,135559,77256,239017,Male
Italy,2021-02-13,448974,138205,6091,195734,952441,414994,Other
Germany,2021-02-14,38738,120724,8509,61979,362278,417480,Other
Germany,2021-02-15,329311,382501,6083,98914,658011,452891,Male
Italy,2021-02-16,499792,257579,635,143451,182360,267219,Other
Australia,2021-02-17,118133,240519,1926,25219,347874,469164,Male
Germany,2021-02-18,106077,411037,2057,87518,419267,179526,Male
India,2021-02-19,88969,423241,6918,34644,290530,28365,Other
India,2021-02-20,105286,438914,3145,191753,993558,465982,Male
USA,2021-02-21,296918,256763,9632,45083,243634,441416,Other
France,2021-02-22,167026,441551,553,63183,934688,273146,Female
Australia,2021-02-23,46371,19113,8908,73911,34787,276091,Male
Canada,2021-02-24,335932,67692,5384,183412,546909,210294,Female
Germany,2021-02-25,431834,90143,3912,31800,994068,356984,Other
India,2021-02-26,373320,217265,9906,40511,603272,116219,Female
Italy,2021-02-27,141439,430865,3390,78272,454008,340754,Female
Germany,2021-02-28,221997,183042,9300,112070,439469,314286,Other
France,2021-03-01,1162,159651,8443,24276,821483,56307,Female
Italy,2021-03-02,247836,36004,2431,6771,312955,135565,Female
UK,2021-03-03,50548,27906,459,187276,31447,255095,Other
UK,2021-03-04,95562,2623,208,20659,129046,312229,Female
Germany,2021-03-05,399545,35417,900,183252,740290,34228,Other
France,2021-03-06,450109,237854,22,130563,517494,210748,Female
Australia,2021-03-07,245985,361802,8602,104261,686614,445091,Other
Germany,2021-03-08,48015,322968,895,186371,871477,424871,Other
India,2021-03-09,266876,23802,515,180017,642147,43472,Female
Brazil,2021-03-10,104692,317223,7295,136778,189490,311581,Female
Germany,2021-03-11,134768,148807,4905,124915,408688,442632,Female
Germany,2021-03-12,372023,392476,7868,74570,505409,321855,Male
Italy,2021-03-13,399484,313887,4110,194862,528759,137888,Male
Brazil,2021-03-14,108199,116789,7180,64359,239404,77175,Male
India,2021-03-15,7661,318155,1561,30034,645600,64307,Other
Germany,2021-03-16,467110,238059,1267,118997,517595,308877,Female
Italy,2021-03-17,82252,256078,3639,5951,752164,390346,Other
France,2021-03-18,125136,208030,8942,162674,664689,95028,Male
Germany,2021-03-19,386293,256659,3428,31105,166937,142312,Female
Brazil,2021-03-20,26834,388872,4781,168807,47850,491450,Other
USA,2021-03-21,399687,336726,1928,145838,317364,92493,Female
Brazil,2021-03-22,26169,344188,2357,114149,244306,125149,Other
UK,2021-03-23,211077,318327,4791,11188,94808,229416,Female
India,2021-03-24,13010,323462,307,166420,502597,202435,Male
Canada,2021-03-25,335723,431509,7980,182234,662757,163834,Male
Germany,2021-03-26,471051,188506,3666,23479,229981,270403,Female
Brazil,2021-03-27,81364,31703,7058,50250,523220,181211,Other
Canada,2021-03-28,23375,157779,662,179366,691885,390919,Male
Italy,2021-03-29,72374,433218,4645,101318,54072,276993,Male
USA,2021-03-30,474765,415446,8504,17397,746466,343912,Male
India,2021-03-31,363020,228554,2921,148042,609108,368252,Female
Brazil,2021-04-01,191176,121879,9275,31872,478746,351853,Female
Canada,2021-04-02,194153,128427,8947,177781,24284,317013,Other
USA,2021-04-03,477975,1672,6237,40158,979834,389032,Other
UK,2021-04-04,185725,48806,6079,129005,84369,63095,Other
India,2021-04-05,48547,40859,353,8017,812554,117886,Female
India,2021-04-06,427845,16775,9095,110769,917781,333054,Female
UK,2021-04-07,388638,192518,7006,11921,857985,479926,Other
Germany,2021-04-08,75803,51276,159,164735,738266,285711,Other
UK,2021-04-09,338334,81232,957,28229,882220,35292,Female
India,2021-04-10,279504,29452,2072,183310,588100,74813,Other
India,2021-04-11,112681,4313,8596,55149,271143,97136,Male
Canada,2021-04-12,266056,227645,9580,35312,285580,51631,Female
USA,2021-04-13,421340,177950,3454,78263,830395,9885,Other
UK,2021-04-14,189828,47974,6676,117457,658456,452875,Female
USA,2021-04-15,378392,336376,956,149390,524156,185378,Male
UK,2021-04-16,420601,224187,6296,86319,770097,328458,Female
Italy,2021-04-17,485752,404930,1713,60595,419495,327231,Female
India,2021-04-18,116521,297931,4704,39972,253164,422381,Female
Canada,2021-04-19,1705,363526,6564,42963,896331,452145,Female
USA,2021-04-20,464474,351757,9466,97083,770605,460244,Male
UK,2021-04-21,72403,160495,5632,104842,289345,358142,Female
Australia,2021-04-22,158311,167519,9634,186799,151787,49812,Female
Italy,2021-04-23,470465,390769,9990,180963,161381,181572,Other
Brazil,2021-04-24,187310,101421,1395,177454,671438,472367,Female
Germany,2021-04-25,262049,38759,9462,119913,450830,320787,Other
USA,2021-04-26,338369,192242,4733,156154,530393,44900,Male
Canada,2021-04-27,145090,150372,3715,168968,905098,436162,Male
Brazil,2021-04-28,478971,21222,530,190596,357992,401067,Male
Australia,2021-04-29,158618,11605,2959,44986,790271,278432,Male
Germany,2021-04-30,124140,53326,7905,160916,69920,72692,Other
Australia,2021-05-01,144218,57542,3592,192710,831051,460796,Female
Brazil,2021-05-02,418134,184124,6896,181453,568109,400584,Male
Germany,2021-05-03,232066,256060,9132,28191,651024,347580,Female
Australia,2021-05-04,266568,351793,526,140196,931997,227208,Other
Canada,2021-05-05,338567,222370,6478,137528,542357,46403,Other
UK,2021-05-06,271355,418028,2,97409,506659,91170,Other
India,2021-05-07,431426,11096,375,123329,8531,271312,Male
UK,2021-05-08,16489,228121,4649,154413,431267,479713,Female
Brazil,2021-05-09,122277,378215,2366,41618,664096,312023,Female
USA,2021-05-10,303671,422035,1526,97589,664070,59871,Female
India,2021-05-11,472895,184424,1647,46901,68155,482604,Other
Italy,2021-05-12,159918,416416,14,54873,932479,491862,Male
Canada,2021-05-13,122983,267047,4600,23362,587712,32174,Other
Italy,2021-05-14,219058,120950,2279,174230,308747,230823,Other
Germany,2021-05-15,238313,415058,3156,198040,941756,223563,Female
India,2021-05-16,393433,59179,8322,165293,475013,137653,Other
Italy,2021-05-17,388052,237141,3815,172901,133503,110155,Female
