Customer ID,Gender,Age,Region,Customer Segment,Purchase Frequency,Avg Purchase Value (₹),Total Spent (₹),Satisfaction Score,Last Purchase Date,Churn Status
CUST1051,Male,46,East,New,16,17169,274704,3.63,2023-02-21,Inactive
CUST1052,Female,53,North,New,8,648,5184,4.29,2023-02-22,Active
CUST1053,Male,42,South,Loyal,14,13895,194530,2.52,2023-02-23,Churned
CUST1054,Female,38,West,Premium,17,5395,91715,4.1,2023-02-24,Active
CUST1055,Other,53,East,Premium,8,17896,143168,4.86,2023-02-25,Churned
CUST1056,Other,27,East,Regular,15,11523,172845,1.82,2023-02-26,Active
CUST1057,Male,54,North,Loyal,14,11199,156786,3.09,2023-02-27,Active
CUST1058,Other,26,West,Regular,18,10215,183870,2.15,2023-02-28,Active
CUST1059,Other,41,West,Premium,7,19669,137683,4.17,2023-03-01,Inactive
CUST1060,Female,52,South,Loyal,3,16663,49989,3.31,2023-03-02,Active
CUST1061,Male,52,West,New,12,6282,75384,3.54,2023-03-03,Active
CUST1062,Female,53,West,Loyal,3,19292,57876,4.19,2023-03-04,Active
CUST1063,Female,35,North,New,14,17224,241136,2.58,2023-03-05,Churned
CUST1064,Female,56,West,New,15,3317,49755,4.66,2023-03-06,Active
CUST1065,Female,49,East,Loyal,14,15596,218344,3.13,2023-03-07,Churned
CUST1066,Female,41,North,New,7,19380,135660,1.63,2023-03-08,Active
CUST1067,Female,40,North,Regular,17,5799,98583,3.78,2023-03-09,Active
CUST1068,Female,49,South,Premium,12,10417,125004,4.17,2023-03-10,Inactive
CUST1069,Male,54,West,New,4,18573,74292,2.27,2023-03-11,Churned
CUST1070,Other,29,South,Regular,9,3767,33903,4.43,2023-03-12,Active
CUST1071,Female,30,East,New,6,4906,29436,4.62,2023-03-13,Churned
CUST1072,Female,40,North,Premium,16,18326,293216,2.11,2023-03-14,Churned
CUST1073,Female,42,North,Regular,2,10882,21764,4.93,2023-03-15,Inactive
CUST1074,Female,52,North,Premium,8,4937,39496,1.56,2023-03-16,Inactive
CUST1075,Female,58,East,Premium,11,5935,65285,1.81,2023-03-17,Inactive
CUST1076,Female,47,East,Regular,13,4607,59891,1.74,2023-03-18,Inactive
CUST1077,Other,34,South,Regular,17,1060,18020,4.58,2023-03-19,Inactive
CUST1078,Other,37,South,Regular,8,12829,102632,3.62,2023-03-20,Inactive
CUST1079,Female,42,South,Loyal,18,2326,41868,1.61,2023-03-21,Inactive
CUST1080,Other,39,West,Regular,18,11921,214578,2.76,2023-03-22,Inactive
CUST1081,Male,30,North,Regular,14,12765,178710,3.46,2023-03-23,Active
CUST1082,Female,36,North,Regular,15,8129,121935,1.33,2023-03-24,Churned
CUST1083,Male,53,South,Regular,6,8825,52950,4.53,2023-03-25,Inactive
CUST1084,Male,29,North,New,11,8193,90123,4.21,2023-03-26,Inactive
CUST1085,Female,58,South,Loyal,13,8764,113932,3.02,2023-03-27,Churned
CUST1086,Other,36,West,Premium,1,13186,13186,4.87,2023-03-28,Active
CUST1087,Male,29,West,Regular,6,14216,85296,2.67,2023-03-29,Churned
CUST1088,Female,26,East,New,9,7221,64989,4.94,2023-03-30,Churned
CUST1089,Male,24,West,New,8,19862,158896,3.67,2023-03-31,Inactive
CUST1090,Male,45,South,New,11,7873,86603,3.54,2023-04-01,Churned
CUST1091,Male,31,West,Premium,19,6407,121733,1.66,2023-04-02,Churned
CUST1092,Male,48,East,Regular,9,16627,149643,4.53,2023-04-03,Inactive
CUST1093,Other,36,North,Loyal,17,6156,104652,2.71,2023-04-04,Inactive
CUST1094,Male,64,South,Loyal,12,9484,113808,1.65,2023-04-05,Inactive
CUST1095,Male,33,North,New,14,8786,123004,1.05,2023-04-06,Inactive
CUST1096,Male,22,East,Premium,15,6401,96015,3.24,2023-04-07,Churned
CUST1097,Other,52,East,Premium,16,5417,86672,3.11,2023-04-08,Churned
CUST1098,Male,29,East,Premium,1,8929,8929,3.88,2023-04-09,Active
CUST1099,Male,42,North,Loyal,10,15216,152160,4.56,2023-04-10,Active
CUST1100,Other,38,North,New,8,16295,130360,1.32,2023-04-11,Churned
CUST1101,Other,53,North,Regular,18,11638,209484,3.93,2023-04-12,Active
CUST1102,Other,40,North,Loyal,1,3030,3030,1.75,2023-04-13,Churned
CUST1103,Male,33,East,New,2,18844,37688,4.43,2023-04-14,Active
CUST1104,Other,56,East,New,1,17932,17932,4.28,2023-04-15,Inactive
CUST1105,Other,62,South,Regular,1,6272,6272,3.16,2023-04-16,Active
CUST1106,Male,59,South,Regular,9,15976,143784,3.84,2023-04-17,Inactive
CUST1107,Other,56,North,Regular,13,19413,252369,2.26,2023-04-18,Inactive
CUST1108,Male,31,West,Premium,1,16251,16251,2.88,2023-04-19,Inactive
CUST1109,Female,48,West,Regular,13,3464,45032,4.29,2023-04-20,Inactive
CUST1110,Other,22,East,New,7,7637,53459,2.84,2023-04-21,Active
CUST1111,Female,52,East,Regular,2,17847,35694,2.43,2023-04-22,Churned
CUST1112,Male,40,East,New,6,17420,104520,2.98,2023-04-23,Inactive
CUST1113,Other,46,South,Loyal,7,14391,100737,4.31,2023-04-24,Active
CUST1114,Male,60,South,Premium,14,7840,109760,2.34,2023-04-25,Inactive
CUST1115,Female,28,East,Loyal,18,8467,152406,1.7,2023-04-26,Active
CUST1116,Male,35,East,Loyal,15,12915,193725,3.85,2023-04-27,Active
CUST1117,Other,64,East,New,2,12371,24742,4.3,2023-04-28,Active
CUST1118,Other,29,West,Loyal,10,12416,124160,1.4,2023-04-29,Churned
CUST1119,Female,26,South,New,12,9234,110808,1.96,2023-04-30,Active
CUST1120,Male,27,West,Regular,17,1345,22865,1.57,2023-05-01,Active
CUST1121,Other,61,West,Regular,8,19920,159360,2.39,2023-05-02,Churned
CUST1122,Female,34,East,New,11,2994,32934,2.8,2023-05-03,Churned
CUST1123,Other,55,East,Regular,3,13177,39531,4.0,2023-05-04,Active
CUST1124,Other,24,North,Premium,6,19603,117618,3.6,2023-05-05,Churned
CUST1125,Male,63,North,Loyal,9,18768,168912,3.48,2023-05-06,Inactive
CUST1126,Other,30,West,Premium,6,12830,76980,2.41,2023-05-07,Inactive
CUST1127,Male,57,South,Loyal,9,5679,51111,4.37,2023-05-08,Churned
CUST1128,Other,59,East,Regular,7,7110,49770,2.89,2023-05-09,Churned
CUST1129,Female,26,East,Premium,9,6930,62370,4.92,2023-05-10,Active
CUST1130,Other,44,West,Regular,18,7654,137772,3.54,2023-05-11,Churned
CUST1131,Male,19,North,Loyal,12,14328,171936,1.51,2023-05-12,Active
CUST1132,Male,22,South,New,8,10645,85160,3.7,2023-05-13,Inactive
CUST1133,Female,46,North,New,8,6988,55904,2.3,2023-05-14,Churned
CUST1134,Other,54,North,Premium,18,4350,78300,3.75,2023-05-15,Active
CUST1135,Other,55,North,Regular,15,17573,263595,1.28,2023-05-16,Active
CUST1136,Female,36,North,Regular,7,14064,98448,1.7,2023-05-17,Inactive
CUST1137,Other,25,East,Premium,11,5578,61358,4.42,2023-05-18,Churned
CUST1138,Other,62,East,New,16,12668,202688,1.91,2023-05-19,Inactive
CUST1139,Male,18,North,Loyal,4,5948,23792,4.35,2023-05-20,Active
CUST1140,Other,39,South,Premium,6,18063,108378,2.12,2023-05-21,Active
CUST1141,Other,34,West,Loyal,3,9574,28722,3.57,2023-05-22,Churned
CUST1142,Female,24,South,New,9,6906,62154,3.78,2023-05-23,Active
CUST1143,Female,42,South,Regular,10,9300,93000,3.05,2023-05-24,Churned
CUST1144,Male,62,South,New,14,14583,204162,2.22,2023-05-25,Inactive
CUST1145,Other,21,North,Premium,11,2138,23518,1.85,2023-05-26,Churned
CUST1146,Other,53,East,Regular,18,10840,195120,1.13,2023-05-27,Churned
CUST1147,Other,23,South,Premium,12,1882,22584,2.22,2023-05-28,Active
CUST1148,Male,48,North,Premium,12,1903,22836,3.61,2023-05-29,Active
CUST1149,Male,36,South,New,13,9511,123643,4.75,2023-05-30,Churned
CUST1150,Female,61,South,Premium,13,3792,49296,4.48,2023-05-31,Active
CUST1151,Male,56,North,New,19,9511,180709,4.06,2023-06-01,Active
CUST1152,Other,44,East,Regular,19,919,17461,4.15,2023-06-02,Active
CUST1153,Other,27,East,New,14,12911,180754,3.66,2023-06-03,Churned
CUST1154,Male,43,West,Regular,4,5017,20068,2.04,2023-06-04,Active
CUST1155,Other,36,North,New,13,15922,206986,4.63,2023-06-05,Churned
CUST1156,Other,56,West,Loyal,8,10200,81600,3.68,2023-06-06,Active
CUST1157,Male,20,West,Loyal,19,6193,117667,3.24,2023-06-07,Inactive
CUST1158,Male,62,West,Premium,12,1267,15204,1.44,2023-06-08,Active
CUST1159,Other,30,East,New,18,18928,340704,2.79,2023-06-09,Active
CUST1160,Other,45,North,New,6,15318,91908,2.84,2023-06-10,Churned
CUST1161,Other,37,West,Regular,18,2049,36882,4.46,2023-06-11,Churned
CUST1162,Female,45,North,Premium,19,10456,198664,3.19,2023-06-12,Active
CUST1163,Female,25,North,New,5,6640,33200,2.52,2023-06-13,Inactive
CUST1164,Female,58,East,Premium,9,11337,102033,4.91,2023-06-14,Active
CUST1165,Male,56,West,Loyal,3,4216,12648,1.44,2023-06-15,Active
CUST1166,Female,18,West,New,10,4981,49810,2.69,2023-06-16,Inactive
CUST1167,Male,20,North,New,19,7048,133912,1.17,2023-06-17,Churned
CUST1168,Male,30,South,Premium,3,19177,57531,3.96,2023-06-18,Active
CUST1169,Female,45,East,New,15,5337,80055,4.67,2023-06-19,Churned
CUST1170,Female,42,East,Premium,1,8258,8258,2.12,2023-06-20,Churned
CUST1171,Female,50,East,New,7,11400,79800,4.43,2023-06-21,Inactive
CUST1172,Other,55,East,Regular,12,8493,101916,2.17,2023-06-22,Inactive
CUST1173,Female,23,West,Premium,17,6042,102714,4.64,2023-06-23,Churned
CUST1174,Other,61,West,New,5,15328,76640,4.02,2023-06-24,Active
CUST1175,Male,62,South,Loyal,4,16552,66208,4.22,2023-06-25,Churned
CUST1176,Other,49,East,New,12,2885,34620,1.07,2023-06-26,Active
CUST1177,Female,62,East,Loyal,18,14808,266544,4.85,2023-06-27,Active
CUST1178,Male,64,North,Loyal,17,1171,19907,3.91,2023-06-28,Inactive
CUST1179,Male,38,West,Regular,19,663,12597,2.22,2023-06-29,Active
CUST1180,Male,33,East,Premium,9,9156,82404,4.32,2023-06-30,Active
CUST1181,Other,38,South,New,4,11734,46936,2.13,2023-07-01,Churned
CUST1182,Female,28,South,Regular,2,5295,10590,4.49,2023-07-02,Inactive
CUST1183,Male,54,West,New,4,11134,44536,1.45,2023-07-03,Active
CUST1184,Male,53,South,Loyal,2,5298,10596,3.81,2023-07-04,Active
CUST1185,Male,52,South,Premium,15,19239,288585,3.16,2023-07-05,Inactive
CUST1186,Other,36,West,New,2,11249,22498,1.39,2023-07-06,Churned
CUST1187,Other,37,East,New,4,6327,25308,1.97,2023-07-07,Inactive
CUST1188,Female,35,East,Loyal,6,5219,31314,1.05,2023-07-08,Inactive
CUST1189,Other,64,South,New,7,1093,7651,2.88,2023-07-09,Active
CUST1190,Male,58,South,New,10,7894,78940,2.21,2023-07-10,Active
CUST1191,Female,31,East,Loyal,19,14556,276564,3.39,2023-07-11,Churned
CUST1192,Male,32,West,Regular,19,11136,211584,2.19,2023-07-12,Active
CUST1193,Male,48,South,Loyal,12,19556,234672,2.2,2023-07-13,Active
CUST1194,Other,18,North,Regular,3,516,1548,3.97,2023-07-14,Inactive
CUST1195,Female,20,West,Premium,13,3691,47983,1.19,2023-07-15,Active
CUST1196,Other,33,South,Regular,18,892,16056,4.61,2023-07-16,Churned
CUST1197,Other,40,South,Regular,8,6772,54176,4.41,2023-07-17,Inactive
CUST1198,Female,28,North,Premium,15,17455,261825,3.67,2023-07-18,Churned
CUST1199,Male,29,North,Regular,1,4131,4131,3.37,2023-07-19,Inactive
CUST1200,Male,27,East,Loyal,3,6672,20016,4.57,2023-07-20,Active
CUST1201,Female,49,West,Regular,8,9812,78496,1.74,2023-07-21,Inactive
CUST1202,Male,33,West,Premium,4,19163,76652,1.32,2023-07-22,Inactive
CUST1203,Female,25,East,Loyal,16,9406,150496,1.96,2023-07-23,Active
CUST1204,Female,55,West,Premium,10,17659,176590,4.18,2023-07-24,Active
CUST1205,Other,29,West,Premium,12,19131,229572,1.14,2023-07-25,Churned
CUST1206,Female,41,West,New,14,16962,237468,3.33,2023-07-26,Churned
CUST1207,Other,45,West,New,14,8580,120120,4.98,2023-07-27,Active
CUST1208,Male,25,West,Premium,2,7599,15198,4.42,2023-07-28,Active
CUST1209,Male,45,North,Premium,5,15416,77080,3.09,2023-07-29,Active
CUST1210,Male,53,West,Premium,5,7583,37915,1.25,2023-07-30,Inactive
CUST1211,Male,43,North,New,6,9723,58338,4.33,2023-07-31,Inactive
CUST1212,Other,25,West,New,13,5440,70720,3.4,2023-08-01,Inactive
CUST1213,Male,45,East,Regular,9,3956,35604,1.46,2023-08-02,Active
CUST1214,Female,45,South,Regular,15,8288,124320,1.38,2023-08-03,Churned
CUST1215,Female,54,North,Premium,14,3211,44954,4.64,2023-08-04,Active
CUST1216,Female,58,West,Loyal,7,11780,82460,3.68,2023-08-05,Inactive
CUST1217,Other,53,East,Loyal,2,18552,37104,4.32,2023-08-06,Inactive
CUST1218,Male,44,South,New,7,17031,119217,4.52,2023-08-07,Active
CUST1219,Male,34,North,New,6,12589,75534,3.29,2023-08-08,Active
CUST1220,Male,26,South,New,17,10642,180914,3.07,2023-08-09,Inactive
CUST1221,Other,50,East,Premium,2,17249,34498,2.72,2023-08-10,Inactive
CUST1222,Female,37,North,Loyal,3,16087,48261,2.27,2023-08-11,Inactive
CUST1223,Female,30,South,Regular,5,10366,51830,2.74,2023-08-12,Active
CUST1224,Male,45,West,Premium,5,5031,25155,4.1,2023-08-13,Inactive
CUST1225,Female,46,North,Regular,1,13186,13186,3.41,2023-08-14,Inactive
CUST1226,Female,30,South,Regular,8,5830,46640,4.57,2023-08-15,Churned
CUST1227,Other,63,East,Premium,12,6010,72120,2.77,2023-08-16,Active
CUST1228,Other,52,East,Regular,4,9464,37856,3.43,2023-08-17,Churned
CUST1229,Other,23,North,Loyal,13,6993,90909,3.53,2023-08-18,Churned
CUST1230,Other,35,South,Regular,15,11259,168885,3.37,2023-08-19,Inactive
CUST1231,Male,22,North,Loyal,11,5939,65329,3.81,2023-08-20,Active
CUST1232,Other,64,North,Loyal,10,14973,149730,1.95,2023-08-21,Inactive
CUST1233,Female,42,South,Loyal,3,10265,30795,3.05,2023-08-22,Active
CUST1234,Male,19,South,New,14,13779,192906,1.42,2023-08-23,Churned
CUST1235,Female,27,West,Regular,16,7011,112176,2.54,2023-08-24,Active
CUST1236,Female,47,South,Premium,10,11983,119830,2.95,2023-08-25,Inactive
CUST1237,Female,62,East,Premium,10,18130,181300,3.61,2023-08-26,Inactive
CUST1238,Other,22,North,Regular,12,2876,34512,4.8,2023-08-27,Inactive
CUST1239,Other,50,North,New,9,19893,179037,3.4,2023-08-28,Active
CUST1240,Male,18,East,New,1,12324,12324,3.97,2023-08-29,Churned
CUST1241,Male,35,South,Loyal,5,18711,93555,3.03,2023-08-30,Churned
CUST1242,Other,49,East,Regular,8,7479,59832,3.54,2023-08-31,Active
CUST1243,Female,64,East,Regular,11,10332,113652,1.28,2023-09-01,Inactive
CUST1244,Male,28,West,Premium,12,13004,156048,2.02,2023-09-02,Churned
CUST1245,Other,38,East,Regular,1,7410,7410,2.45,2023-09-03,Inactive
CUST1246,Other,43,North,New,11,14589,160479,2.89,2023-09-04,Active
CUST1247,Other,42,East,Regular,5,2696,13480,1.18,2023-09-05,Inactive
CUST1248,Female,39,North,Premium,15,6478,97170,1.56,2023-09-06,Churned
CUST1249,Other,44,North,Loyal,5,17653,88265,2.11,2023-09-07,Churned
CUST1250,Other,30,North,Premium,12,1280,15360,4.89,2023-09-08,Inactive
CUST1251,Other,50,South,Premium,5,10408,52040,2.33,2023-09-09,Active
CUST1252,Other,51,West,Loyal,17,6803,115651,2.93,2023-09-10,Inactive
CUST1253,Male,58,North,Premium,17,15186,258162,1.78,2023-09-11,Active
CUST1254,Male,52,North,Premium,12,4483,53796,3.44,2023-09-12,Inactive
CUST1255,Other,18,South,Regular,15,10003,150045,2.12,2023-09-13,Churned
CUST1256,Female,38,North,Regular,15,17405,261075,1.83,2023-09-14,Active
CUST1257,Male,23,East,Loyal,6,13570,81420,3.07,2023-09-15,Active
CUST1258,Other,45,East,Regular,12,12732,152784,1.02,2023-09-16,Active
CUST1259,Male,34,West,Regular,18,5083,91494,1.03,2023-09-17,Churned
CUST1260,Male,22,North,Premium,14,6446,90244,1.88,2023-09-18,Inactive
CUST1261,Female,48,South,New,2,16877,33754,1.15,2023-09-19,Churned
CUST1262,Other,22,East,Regular,9,7628,68652,1.43,2023-09-20,Active
CUST1263,Other,55,South,New,5,12389,61945,2.36,2023-09-21,Inactive
CUST1264,Female,20,South,Regular,1,12775,12775,4.21,2023-09-22,Churned
CUST1265,Female,40,East,Regular,3,2961,8883,3.29,2023-09-23,Active
CUST1266,Other,54,South,Loyal,6,14791,88746,3.05,2023-09-24,Active
CUST1267,Other,54,East,Loyal,5,14536,72680,2.17,2023-09-25,Churned
CUST1268,Female,27,South,Loyal,5,11935,59675,4.73,2023-09-26,Churned
CUST1269,Male,27,East,New,1,1185,1185,2.59,2023-09-27,Churned
CUST1270,Male,36,North,Premium,17,19044,323748,1.35,2023-09-28,Active
CUST1271,Female,34,West,Regular,19,12758,242402,3.47,2023-09-29,Churned
CUST1272,Male,38,East,Regular,14,16490,230860,1.46,2023-09-30,Active
CUST1273,Female,31,East,Regular,12,16922,203064,2.38,2023-10-01,Churned
CUST1274,Male,26,West,New,10,11236,112360,3.03,2023-10-02,Active
CUST1275,Male,63,East,Loyal,18,5375,96750,4.5,2023-10-03,Active
CUST1276,Other,18,East,Premium,11,18140,199540,2.97,2023-10-04,Inactive
CUST1277,Other,62,South,New,2,11682,23364,3.81,2023-10-05,Churned
CUST1278,Male,30,West,Loyal,18,2696,48528,4.97,2023-10-06,Churned
CUST1279,Male,21,North,New,7,7665,53655,1.53,2023-10-07,Active
CUST1280,Other,18,East,Premium,15,16497,247455,2.1,2023-10-08,Active
CUST1281,Other,57,West,Loyal,11,14715,161865,2.58,2023-10-09,Active
CUST1282,Other,49,South,New,18,801,14418,2.69,2023-10-10,Inactive
CUST1283,Female,51,North,Premium,12,17530,210360,2.64,2023-10-11,Inactive
CUST1284,Male,45,West,Regular,6,15071,90426,4.63,2023-10-12,Active
CUST1285,Other,48,North,Premium,13,10451,135863,3.86,2023-10-13,Churned
CUST1286,Male,25,North,Regular,16,11273,180368,3.43,2023-10-14,Churned
CUST1287,Female,56,North,New,18,16640,299520,2.24,2023-10-15,Inactive
CUST1288,Female,43,East,Loyal,10,13557,135570,4.3,2023-10-16,Inactive
CUST1289,Other,51,East,Loyal,8,13000,104000,4.82,2023-10-17,Active
CUST1290,Female,20,South,New,18,16421,295578,4.28,2023-10-18,Churned
CUST1291,Male,29,South,Loyal,1,12370,12370,1.01,2023-10-19,Active
CUST1292,Other,18,West,Loyal,8,4582,36656,3.55,2023-10-20,Inactive
CUST1293,Male,61,South,Regular,6,14218,85308,1.2,2023-10-21,Churned
CUST1294,Male,22,North,New,5,11017,55085,2.03,2023-10-22,Churned
CUST1295,Female,47,North,Premium,15,4254,63810,1.24,2023-10-23,Inactive
CUST1296,Female,47,East,Regular,15,2224,33360,3.42,2023-10-24,Active
CUST1297,Female,34,North,New,2,1876,3752,3.75,2023-10-25,Active
CUST1298,Female,64,West,Regular,1,9206,9206,1.46,2023-10-26,Churned
CUST1299,Female,40,North,Premium,11,9394,103334,2.54,2023-10-27,Inactive
CUST1300,Other,32,North,Premium,10,18537,185370,2.82,2023-10-28,Churned
CUST1301,Male,54,West,New,18,18950,341100,2.48,2023-10-29,Inactive
CUST1302,Male,38,South,Premium,18,16906,304308,1.48,2023-10-30,Active
CUST1303,Male,31,South,Regular,17,19344,328848,2.68,2023-10-31,Inactive
CUST1304,Male,19,West,Premium,8,6426,51408,4.0,2023-11-01,Active
CUST1305,Female,28,East,Regular,15,6751,101265,1.28,2023-11-02,Inactive
CUST1306,Male,56,North,Regular,8,9996,79968,1.32,2023-11-03,Churned
CUST1307,Other,55,West,Premium,17,3800,64600,2.42,2023-11-04,Active
CUST1308,Other,51,North,New,12,9053,108636,4.77,2023-11-05,Churned
CUST1309,Male,55,East,Loyal,8,4227,33816,3.67,2023-11-06,Churned
CUST1310,Male,51,North,Premium,14,17398,243572,3.71,2023-11-07,Active
CUST1311,Other,35,West,Regular,4,17332,69328,2.45,2023-11-08,Active
CUST1312,Other,47,North,Regular,1,6519,6519,3.37,2023-11-09,Churned
CUST1313,Female,32,South,Premium,1,15963,15963,1.04,2023-11-10,Churned
CUST1314,Other,44,East,New,19,10547,200393,3.54,2023-11-11,Churned
CUST1315,Female,51,East,New,16,12254,196064,4.65,2023-11-12,Churned
CUST1316,Female,55,East,Regular,14,3020,42280,3.45,2023-11-13,Active
CUST1317,Female,50,West,Regular,16,3581,57296,4.49,2023-11-14,Active
CUST1318,Female,41,East,New,5,1928,9640,3.9,2023-11-15,Churned
CUST1319,Female,32,South,Loyal,9,4467,40203,1.48,2023-11-16,Inactive
CUST1320,Male,47,West,Premium,2,6945,13890,4.61,2023-11-17,Inactive
CUST1321,Other,59,South,Regular,18,15066,271188,1.27,2023-11-18,Active
CUST1322,Female,34,North,Regular,6,14542,87252,3.14,2023-11-19,Churned
CUST1323,Other,22,North,New,9,11829,106461,1.57,2023-11-20,Churned
CUST1324,Other,46,North,Premium,1,2659,2659,1.05,2023-11-21,Active
CUST1325,Female,21,North,New,9,5632,50688,2.69,2023-11-22,Inactive
CUST1326,Male,27,South,Premium,16,19431,310896,2.18,2023-11-23,Inactive
CUST1327,Female,34,West,Premium,13,19863,258219,2.94,2023-11-24,Inactive
CUST1328,Male,27,West,Premium,9,15433,138897,3.31,2023-11-25,Active
CUST1329,Other,34,East,Regular,13,10973,142649,1.17,2023-11-26,Inactive
CUST1330,Male,37,South,Loyal,9,19533,175797,1.49,2023-11-27,Active
CUST1331,Male,41,North,New,11,11305,124355,3.23,2023-11-28,Active
CUST1332,Male,22,South,Loyal,4,3583,14332,2.37,2023-11-29,Churned
CUST1333,Other,51,East,New,2,17921,35842,3.92,2023-11-30,Inactive
CUST1334,Other,23,East,Premium,6,14444,86664,3.61,2023-12-01,Active
CUST1335,Male,19,South,Regular,14,8104,113456,4.38,2023-12-02,Inactive
CUST1336,Male,30,South,Loyal,4,15879,63516,3.77,2023-12-03,Inactive
CUST1337,Female,60,South,Regular,6,19518,117108,2.72,2023-12-04,Churned
CUST1338,Male,60,West,New,19,4483,85177,3.69,2023-12-05,Inactive
CUST1339,Female,28,North,Regular,6,2278,13668,2.1,2023-12-06,Churned
CUST1340,Male,64,South,Regular,2,5610,11220,2.23,2023-12-07,Active
CUST1341,Female,40,South,Loyal,18,12587,226566,4.16,2023-12-08,Inactive
CUST1342,Other,33,South,Premium,13,18008,234104,2.79,2023-12-09,Active
CUST1343,Male,48,East,Regular,9,17581,158229,4.19,2023-12-10,Inactive
CUST1344,Male,28,East,Premium,19,2679,50901,4.29,2023-12-11,Active
CUST1345,Male,33,West,New,13,10096,131248,4.43,2023-12-12,Inactive
CUST1346,Male,25,North,Regular,11,5751,63261,4.67,2023-12-13,Inactive
CUST1347,Female,21,West,Loyal,1,9735,9735,2.72,2023-12-14,Inactive
CUST1348,Male,57,North,New,7,18813,131691,2.28,2023-12-15,Inactive
