TicketID,CreatedDate,Priority,Category,Subcategory,AffectedSystem,Location,AssignedTo,Status,ChangeRequest,KB_Article,ResolvedDate,ResolutionTimeHours,SLA_Breach,Impact,Customer,DowntimeMinutes,RootCause,Comments,Cost(USD),Week_Start_Date,Month,Year
TKT0021,2024-06-10 14:53:34,Medium,Hardware,CPU,Auth-Service,Delhi,Priya S.,Closed,No,KB-0015,2024-06-10 21:27:42,6.57,No,Medium,Internal,8,Third-party,,0.0,2024-06-10,2024-06,2024
TKT0022,2024-10-15 19:13:45,Medium,Cloud,IAM,API-Gateway,Remote,Saurabh D.,Closed,No,KB-0012,2024-10-16 00:11:45,4.97,No,High,Internal,3,Config Change,,836.17,2024-10-14,2024-10,2024
TKT0023,2024-12-07 04:40:16,High,Security,Malware,Search,Mumbai,Priya S.,Resolved,No,KB-0020,2024-12-07 09:14:46,4.58,No,High,External,3,Unknown,,919.36,2024-12-02,2024-12,2024
TKT0024,2024-05-31 13:08:02,Medium,Storage,SAN,Email,Hyderabad,Neha P.,In Progress,No,KB-0072,,,Yes,High,Partner,7,Capacity,,1202.03,2024-05-27,2024-05,2024
TKT0025,2024-08-30 05:51:51,High,Security,Vulnerability,Data-Warehouse,Chennai,Karan L.,Open,No,KB-0032,,,Yes,Low,External,0,Human Error,,251.17,2024-08-26,2024-08,2024
TKT0026,2025-01-26 01:54:30,High,Storage,NAS,Email,Delhi,Neha P.,Resolved,No,KB-0052,2025-01-26 06:22:43,4.47,No,High,Partner,3,Expired Cert,,783.7,2025-01-20,2025-01,2025
TKT0027,2025-10-18 16:25:43,Low,Hardware,Power,Auth-Service,Pune,Saurabh D.,Resolved,No,KB-0034,2025-10-25 10:43:11,162.29,Yes,Low,Partner,2,Hardware Failure,,771.41,2025-10-13,2025-10,2025
TKT0028,2025-09-12 16:07:24,Low,Database,Backup,Auth-Service,Kolkata,Ravi K.,Resolved,No,KB-0088,2025-09-13 07:45:07,15.63,No,Medium,External,5,Code Bug,,575.97,2025-09-08,2025-09,2025
TKT0029,2025-01-07 13:04:42,Low,Hardware,Power,Payments,Delhi,Team-NetOps,Resolved,No,KB-0052,2025-01-11 20:58:05,103.89,Yes,Medium,Internal,2,Hardware Failure,,1053.3,2025-01-06,2025-01,2025
TKT0030,2025-01-23 21:47:57,High,Hardware,Power,Search,Mumbai,Saurabh D.,Resolved,No,KB-0075,2025-01-23 22:17:57,0.5,No,Low,Partner,1,Power Outage,,636.79,2025-01-20,2025-01,2025
TKT0031,2024-08-06 16:30:50,Low,Storage,Snapshot,Data-Warehouse,Pune,Saurabh D.,Resolved,No,KB-0043,2024-08-09 04:11:40,59.68,No,Critical,Internal,4,Third-party,,608.37,2024-08-05,2024-08,2024
TKT0032,2024-08-18 06:09:01,Critical,Security,Malware,Payments,Remote,Karan L.,Open,No,KB-0092,,,Yes,Medium,Partner,8,Hardware Failure,,38.97,2024-08-12,2024-08,2024
TKT0033,2024-09-06 04:41:44,Critical,Storage,SAN,Search,Hyderabad,Amit M.,Open,No,KB-0060,,,Yes,Low,Internal,3,Human Error,,849.7,2024-09-02,2024-09,2024
TKT0034,2025-04-12 04:51:29,Medium,Hardware,CPU,Email,Remote,Team-DBA,Open,No,KB-0055,,,Yes,High,External,5,Power Outage,,566.43,2025-04-07,2025-04,2025
TKT0035,2024-06-11 23:55:30,Medium,Storage,SAN,API-Gateway,Remote,Neha P.,Resolved,Yes,KB-0037,2024-06-13 19:51:32,43.93,Yes,Low,External,1,Human Error,,346.54,2024-06-10,2024-06,2024
TKT0036,2024-05-21 04:14:24,Medium,Cloud,Provisioning,Payments,Kolkata,Karan L.,Resolved,No,KB-0008,2024-05-21 04:44:24,0.5,No,Medium,External,5,Config Change,,0.0,2024-05-20,2024-05,2024
TKT0037,2025-08-12 12:30:00,Low,Application,Bug,Search,Hyderabad,Isha T.,Resolved,No,KB-0004,2025-08-13 04:05:58,15.6,No,Medium,Partner,6,Capacity,,0.0,2025-08-11,2025-08,2025
TKT0038,2025-04-23 04:39:34,Critical,Security,Malware,Auth-Service,Pune,Karan L.,Resolved,No,KB-0007,2025-04-23 05:33:16,0.9,No,Low,Partner,2,Expired Cert,,0.0,2025-04-21,2025-04,2025
TKT0039,2024-12-11 12:17:48,Low,Security,Access,Payments,Remote,Ravi K.,In Progress,Yes,KB-0045,,,Yes,Low,Internal,2,Config Change,,67.67,2024-12-09,2024-12,2024
TKT0040,2024-02-01 07:12:53,Critical,Database,Performance,Data-Warehouse,Remote,Priya S.,In Progress,No,KB-0090,,,Yes,Low,Partner,0,Capacity,,1560.08,2024-01-29,2024-02,2024
TKT0041,2025-09-12 19:47:45,High,Storage,SAN,API-Gateway,Pune,Team-DBA,Resolved,No,KB-0087,2025-09-13 03:59:56,8.2,Yes,Low,External,0,Code Bug,,220.99,2025-09-08,2025-09,2025
TKT0042,2024-03-18 18:44:53,Medium,Network,Firewall,Payments,Mumbai,Pooja R.,Resolved,No,KB-0009,2024-03-18 22:29:26,3.74,No,Low,Partner,3,Power Outage,,131.36,2024-03-18,2024-03,2024
TKT0043,2024-04-18 13:23:40,Low,Security,Malware,Data-Warehouse,Kolkata,Amit M.,In Progress,No,KB-0035,,,Yes,Medium,External,2,Power Outage,,0.0,2024-04-15,2024-04,2024
TKT0044,2025-04-21 13:52:46,Medium,Application,Deployment,Payments,Delhi,Isha T.,Resolved,No,KB-0079,2025-04-21 23:12:58,9.34,No,Low,Partner,1,Expired Cert,,588.52,2025-04-21,2025-04,2025
TKT0045,2024-07-05 15:13:22,Low,Application,Bug,API-Gateway,Mumbai,Team-NetOps,Closed,Yes,KB-0093,2024-07-06 01:55:12,10.7,No,Medium,Internal,7,Power Outage,,728.71,2024-07-01,2024-07,2024
TKT0046,2025-10-23 22:31:28,Low,Network,Firewall,Web-Frontend,Kolkata,Neha P.,Resolved,No,KB-0061,2025-10-27 04:17:11,77.76,Yes,Low,External,2,Unknown,,225.68,2025-10-20,2025-10,2025
TKT0047,2024-12-04 11:44:29,Medium,Application,Deployment,Payments,Hyderabad,Pooja R.,Resolved,No,KB-0098,2024-12-04 18:24:52,6.67,No,Low,External,4,Power Outage,,918.68,2024-12-02,2024-12,2024
TKT0048,2024-10-10 23:37:48,Medium,Application,Deployment,Web-Frontend,Delhi,Neha P.,Resolved,No,KB-0091,2024-10-11 19:47:04,20.15,No,Low,Internal,3,Unknown,,203.65,2024-10-07,2024-10,2024
TKT0049,2024-10-26 22:08:40,Low,Security,Vulnerability,Auth-Service,Delhi,Isha T.,Resolved,No,KB-0007,2024-10-28 01:16:13,27.13,No,High,Internal,2,Human Error,,2157.33,2024-10-21,2024-10,2024
TKT0050,2025-02-14 15:04:36,Medium,Network,Router,Data-Warehouse,Delhi,Priya S.,Reopened,Yes,KB-0098,,,Yes,Medium,External,2,Code Bug,,0.0,2025-02-10,2025-02,2025
TKT0051,2025-06-19 12:28:58,Medium,Storage,Snapshot,Search,Delhi,Team-DBA,In Progress,No,KB-0095,,,Yes,Low,Internal,0,Code Bug,,0.0,2025-06-16,2025-06,2025
TKT0052,2024-09-27 21:05:10,High,Hardware,Disk,Data-Warehouse,Mumbai,Karan L.,Resolved,No,KB-0038,2024-09-28 09:15:42,12.18,Yes,Medium,External,4,Power Outage,,744.48,2024-09-23,2024-09,2024
TKT0053,2024-03-13 21:14:59,Medium,Storage,Snapshot,Web-Frontend,Kolkata,Priya S.,Resolved,No,KB-0035,2024-03-13 22:16:06,1.02,No,Low,Internal,1,Third-party,,881.72,2024-03-11,2024-03,2024
TKT0054,2025-09-01 23:52:36,Low,Security,Vulnerability,Analytics,Delhi,Karan L.,Closed,No,KB-0064,2025-09-10 22:21:12,214.48,Yes,Medium,Partner,5,Expired Cert,,614.38,2025-09-01,2025-09,2025
TKT0055,2025-09-10 08:01:05,High,Cloud,IAM,Auth-Service,Delhi,Team-DBA,Resolved,No,KB-0061,2025-09-10 08:31:05,0.5,No,Medium,Partner,5,Capacity,,358.88,2025-09-08,2025-09,2025
TKT0056,2025-08-22 13:40:52,Medium,Network,WAN,Email,Kolkata,Pooja R.,Resolved,Yes,KB-0021,2025-08-23 13:45:18,24.07,Yes,Medium,Partner,7,Hardware Failure,,0.0,2025-08-18,2025-08,2025
TKT0057,2025-07-17 01:29:05,Medium,Application,Deployment,Search,Mumbai,Team-NetOps,Resolved,Yes,KB-0067,2025-07-17 09:55:58,8.45,No,High,External,2,Power Outage,,1221.91,2025-07-14,2025-07,2025
TKT0058,2024-02-22 06:17:35,High,Application,Bug,Analytics,Pune,Ravi K.,Reopened,No,KB-0031,,,Yes,Medium,Partner,4,Unknown,,587.32,2024-02-19,2024-02,2024
TKT0059,2024-01-15 17:26:05,High,Storage,SAN,Analytics,Pune,Amit M.,Resolved,No,KB-0066,2024-01-15 21:04:32,3.64,No,Medium,Partner,4,Power Outage,,229.25,2024-01-15,2024-01,2024
TKT0060,2024-09-06 14:35:09,Medium,Hardware,CPU,Data-Warehouse,Pune,Saurabh D.,Open,No,KB-0044,,,Yes,High,External,3,Third-party,,2174.0,2024-09-02,2024-09,2024
TKT0061,2024-01-03 09:46:19,Low,Hardware,CPU,Analytics,Bengaluru,Isha T.,Resolved,No,KB-0071,2024-01-05 21:00:26,59.24,No,Low,Partner,0,Code Bug,,523.58,2024-01-01,2024-01,2024
TKT0062,2024-09-01 18:24:14,Low,Security,Vulnerability,Email,Remote,Karan L.,Resolved,No,KB-0084,2024-09-03 19:45:16,49.35,No,Medium,Internal,8,Capacity,,263.05,2024-08-26,2024-09,2024
TKT0063,2025-05-29 18:21:55,High,Storage,NAS,Payments,Remote,Ravi K.,In Progress,No,KB-0084,,,Yes,Critical,Internal,2,Power Outage,,1140.5,2025-05-26,2025-05,2025
TKT0064,2024-09-28 10:39:44,Medium,Network,Firewall,Search,Chennai,Isha T.,Open,Yes,KB-0009,,,Yes,Low,External,0,Third-party,,0.0,2024-09-23,2024-09,2024
TKT0065,2024-08-20 23:05:27,Low,Storage,Snapshot,Payments,Remote,Amit M.,In Progress,No,KB-0006,,,Yes,Low,Internal,0,Third-party,,0.0,2024-08-19,2024-08,2024
TKT0066,2025-01-02 11:27:09,High,Security,Malware,Data-Warehouse,Bengaluru,Amit M.,Resolved,No,KB-0080,2025-01-02 12:15:26,0.8,No,Medium,External,10,Capacity,,624.8,2024-12-30,2025-01,2025
TKT0067,2024-08-25 14:40:16,Medium,Cloud,Provisioning,Analytics,Delhi,Team-NetOps,Resolved,No,KB-0045,2024-08-25 23:36:13,8.93,No,Low,Partner,1,Third-party,,976.43,2024-08-19,2024-08,2024
TKT0068,2025-04-12 09:12:24,Low,Network,Router,Search,Chennai,Team-DBA,Resolved,No,KB-0003,2025-04-15 18:06:48,80.91,Yes,Medium,Partner,6,Config Change,,0.0,2025-04-07,2025-04,2025
TKT0069,2025-08-02 21:49:47,Low,Hardware,CPU,Analytics,Delhi,Neha P.,In Progress,No,KB-0082,,,Yes,Low,Partner,0,Capacity,,362.08,2025-07-28,2025-08,2025
TKT0070,2025-10-05 03:57:40,Medium,Application,Bug,Auth-Service,Chennai,Amit M.,Resolved,No,KB-0096,2025-10-07 13:42:49,57.75,Yes,Low,External,1,Expired Cert,,134.93,2025-09-29,2025-10,2025
TKT0071,2025-06-27 16:58:17,Low,Application,Bug,API-Gateway,Chennai,Priya S.,Resolved,Yes,KB-0097,2025-06-29 03:14:39,34.27,No,High,External,6,Hardware Failure,,650.43,2025-06-23,2025-06,2025
TKT0072,2025-07-24 11:05:50,Medium,Application,Upgrade,Payments,Remote,Pooja R.,In Progress,No,KB-0075,,,Yes,Low,External,1,Expired Cert,,195.59,2025-07-21,2025-07,2025
TKT0073,2024-04-20 21:14:30,Critical,Hardware,Power,Web-Frontend,Pune,Isha T.,Closed,No,KB-0053,2024-04-21 04:14:19,7.0,Yes,Low,Internal,0,Third-party,,506.92,2024-04-15,2024-04,2024
TKT0074,2025-05-19 03:06:15,Low,Database,Backup,Analytics,Chennai,Team-NetOps,Resolved,No,KB-0020,2025-05-19 09:14:41,6.14,No,Medium,Partner,2,Hardware Failure,,878.94,2025-05-19,2025-05,2025
TKT0075,2024-10-13 01:44:23,High,Security,Vulnerability,Email,Pune,Pooja R.,Resolved,No,KB-0046,2024-10-13 12:46:51,11.04,Yes,Low,Internal,1,Power Outage,,0.0,2024-10-07,2024-10,2024
TKT0076,2024-04-03 21:13:41,Medium,Network,Switch,Email,Hyderabad,Amit M.,Open,No,KB-0098,,,Yes,Medium,External,8,Code Bug,,0.0,2024-04-01,2024-04,2024
TKT0077,2024-08-26 10:49:09,Low,Hardware,Disk,API-Gateway,Bengaluru,Amit M.,Resolved,No,KB-0015,2024-09-01 03:13:46,136.41,Yes,Low,Internal,0,Expired Cert,,48.84,2024-08-26,2024-08,2024
TKT0078,2024-08-31 18:20:01,High,Network,Router,Search,Pune,Priya S.,Resolved,No,KB-0066,2024-08-31 22:22:50,4.05,No,Medium,Internal,1,Config Change,,197.72,2024-08-26,2024-08,2024
TKT0079,2025-06-17 09:29:41,Low,Network,WAN,Search,Kolkata,Priya S.,Resolved,No,KB-0010,2025-06-17 16:41:46,7.2,No,Low,Internal,2,Human Error,,145.62,2025-06-16,2025-06,2025
TKT0080,2024-05-09 08:39:40,Medium,Cloud,Autoscale,Search,Delhi,Isha T.,Resolved,No,KB-0090,2024-05-09 15:07:16,6.46,No,Medium,External,3,Code Bug,,400.86,2024-05-06,2024-05,2024
TKT0081,2025-03-16 14:56:14,Medium,Storage,NAS,Search,Kolkata,Priya S.,Resolved,No,KB-0033,2025-03-19 10:11:08,67.25,Yes,Low,Partner,0,Human Error,,234.83,2025-03-10,2025-03,2025
TKT0082,2024-04-03 02:05:27,High,Cloud,Autoscale,Data-Warehouse,Mumbai,Team-DBA,Closed,No,KB-0086,2024-04-04 09:48:52,31.72,Yes,Low,External,0,Hardware Failure,,691.75,2024-04-01,2024-04,2024
TKT0083,2024-02-22 09:38:19,Medium,Hardware,CPU,Web-Frontend,Bengaluru,Isha T.,Resolved,Yes,KB-0072,2024-02-23 01:08:06,15.5,No,High,External,8,Code Bug,,944.53,2024-02-19,2024-02,2024
TKT0084,2025-03-15 17:49:52,Medium,Cloud,IAM,Auth-Service,Delhi,Ravi K.,Resolved,No,KB-0040,2025-03-16 12:24:55,18.58,No,Low,Internal,0,Capacity,,688.15,2025-03-10,2025-03,2025
TKT0085,2025-08-02 21:25:04,High,Cloud,Provisioning,Payments,Hyderabad,Karan L.,Resolved,No,KB-0048,2025-08-02 22:45:05,1.33,No,Low,External,1,Human Error,,0.0,2025-07-28,2025-08,2025
TKT0086,2024-02-23 04:10:48,Medium,Cloud,Provisioning,API-Gateway,Remote,Karan L.,Resolved,No,KB-0035,2024-02-26 02:32:50,70.37,Yes,Medium,Partner,10,Hardware Failure,,275.2,2024-02-19,2024-02,2024
TKT0087,2024-04-23 09:43:43,Medium,Hardware,CPU,API-Gateway,Mumbai,Neha P.,Resolved,No,KB-0001,2024-04-24 03:58:34,18.25,No,High,Internal,4,Third-party,,1589.72,2024-04-22,2024-04,2024
TKT0088,2024-10-23 10:07:00,Medium,Security,Vulnerability,Data-Warehouse,Kolkata,Team-NetOps,In Progress,No,KB-0086,,,Yes,High,Internal,8,Hardware Failure,,765.41,2024-10-21,2024-10,2024
TKT0089,2024-02-13 13:01:29,Low,Storage,NAS,Search,Kolkata,Karan L.,Resolved,No,KB-0042,2024-02-14 07:25:17,18.4,No,High,Partner,9,Expired Cert,,466.19,2024-02-12,2024-02,2024
TKT0090,2024-03-31 13:54:06,High,Hardware,Power,Payments,Kolkata,Saurabh D.,In Progress,No,KB-0100,,,Yes,Low,External,2,Human Error,,128.81,2024-03-25,2024-03,2024
TKT0091,2025-06-27 16:12:57,Low,Application,Upgrade,Data-Warehouse,Hyderabad,Priya S.,Resolved,No,KB-0078,2025-06-30 08:22:20,64.16,No,High,Internal,6,Capacity,,1084.99,2025-06-23,2025-06,2025
TKT0092,2025-10-05 15:29:48,Medium,Hardware,Power,Email,Chennai,Amit M.,Resolved,No,KB-0081,2025-10-06 07:18:01,15.8,No,Low,Internal,1,Expired Cert,,776.62,2025-09-29,2025-10,2025
TKT0093,2025-06-03 02:19:29,Medium,Network,Firewall,API-Gateway,Pune,Priya S.,In Progress,No,KB-0060,,,Yes,Medium,External,1,Config Change,,522.69,2025-06-02,2025-06,2025
TKT0094,2025-04-05 18:41:12,Medium,Security,Malware,Data-Warehouse,Mumbai,Isha T.,Resolved,No,KB-0044,2025-04-06 18:03:57,23.38,No,Low,External,0,Capacity,,884.32,2025-03-31,2025-04,2025
TKT0095,2024-02-10 07:45:28,Low,Hardware,CPU,Data-Warehouse,Chennai,Pooja R.,Closed,No,KB-0100,2024-02-10 16:12:09,8.44,No,Medium,External,1,Expired Cert,,0.0,2024-02-05,2024-02,2024
TKT0096,2024-03-08 10:06:35,Medium,Application,Bug,Data-Warehouse,Chennai,Priya S.,In Progress,No,KB-0045,,,Yes,Low,External,2,Hardware Failure,,922.17,2024-03-04,2024-03,2024
TKT0097,2024-05-12 19:45:05,Medium,Security,Malware,Email,Bengaluru,Team-NetOps,Resolved,No,KB-0066,2024-05-13 09:36:16,13.85,No,Low,Internal,1,Code Bug,,690.77,2024-05-06,2024-05,2024
TKT0098,2024-12-15 15:12:14,Low,Database,Performance,API-Gateway,Pune,Team-NetOps,Open,No,KB-0068,,,Yes,Low,Partner,1,Capacity,,365.35,2024-12-09,2024-12,2024
TKT0099,2025-09-03 12:09:10,High,Cloud,IAM,Data-Warehouse,Remote,Ravi K.,Resolved,No,KB-0031,2025-09-04 04:52:02,16.71,Yes,Medium,External,6,Power Outage,,138.54,2025-09-01,2025-09,2025
TKT0100,2024-08-27 17:15:19,Low,Storage,NAS,Web-Frontend,Chennai,Team-DBA,Reopened,No,KB-0037,,,Yes,High,External,2,Unknown,,962.35,2024-08-26,2024-08,2024
TKT0101,2025-03-04 05:52:12,Low,Database,Backup,Auth-Service,Remote,Pooja R.,In Progress,Yes,KB-0067,,,Yes,High,Partner,3,Human Error,,968.66,2025-03-03,2025-03,2025
TKT0102,2024-06-13 08:28:57,Medium,Storage,NAS,Payments,Hyderabad,Isha T.,Open,No,KB-0054,,,Yes,Low,External,1,Expired Cert,,677.57,2024-06-10,2024-06,2024
TKT0103,2024-08-29 12:05:23,High,Application,Deployment,Email,Bengaluru,Amit M.,Resolved,No,KB-0061,2024-08-29 13:27:23,1.37,No,Low,External,0,Power Outage,,0.0,2024-08-26,2024-08,2024
TKT0104,2025-04-04 19:00:57,High,Application,Deployment,Data-Warehouse,Kolkata,Priya S.,Open,No,KB-0016,,,Yes,Low,Partner,0,Power Outage,,0.0,2025-03-31,2025-04,2025
TKT0105,2024-03-05 03:53:57,Medium,Hardware,Disk,Web-Frontend,Bengaluru,Saurabh D.,Resolved,No,KB-0031,2024-03-05 05:40:57,1.78,No,Low,External,0,Human Error,,0.0,2024-03-04,2024-03,2024
TKT0106,2025-06-20 11:04:33,Medium,Storage,Snapshot,Auth-Service,Kolkata,Isha T.,Resolved,No,KB-0048,2025-06-20 19:46:23,8.7,No,Low,Internal,1,Expired Cert,,104.23,2025-06-16,2025-06,2025
TKT0107,2024-09-03 23:42:40,High,Hardware,CPU,Email,Bengaluru,Ravi K.,Resolved,No,KB-0083,2024-09-04 00:12:40,0.5,No,High,Partner,5,Power Outage,,1425.68,2024-09-02,2024-09,2024
TKT0108,2025-10-08 05:51:08,High,Storage,NAS,Auth-Service,Delhi,Neha P.,Resolved,No,KB-0006,2025-10-08 14:40:48,8.83,Yes,Low,Partner,0,Unknown,,0.0,2025-10-06,2025-10,2025
TKT0109,2025-04-29 08:02:48,Medium,Application,Bug,Auth-Service,Chennai,Saurabh D.,Resolved,No,KB-0052,2025-04-29 12:33:24,4.51,No,High,Partner,6,Expired Cert,,1425.7,2025-04-28,2025-04,2025
TKT0110,2024-07-10 15:44:31,Medium,Storage,Snapshot,API-Gateway,Pune,Karan L.,Resolved,No,KB-0024,2024-07-12 11:03:09,43.31,Yes,Low,Internal,1,Expired Cert,,0.0,2024-07-08,2024-07,2024
TKT0111,2024-10-29 09:28:38,Medium,Database,Replication,Analytics,Chennai,Isha T.,Resolved,No,KB-0046,2024-10-29 11:39:13,2.18,No,Medium,External,4,Config Change,,0.0,2024-10-28,2024-10,2024
TKT0112,2024-03-17 21:40:25,Medium,Storage,Snapshot,Data-Warehouse,Mumbai,Amit M.,Open,No,KB-0057,,,Yes,Low,Internal,0,Code Bug,,0.0,2024-03-11,2024-03,2024
TKT0113,2025-10-22 11:23:24,Low,Network,Router,Analytics,Chennai,Pooja R.,Resolved,Yes,KB-0018,2025-10-27 18:48:20,127.42,Yes,Low,External,2,Third-party,,0.0,2025-10-20,2025-10,2025
TKT0114,2024-09-12 03:01:47,High,Hardware,Power,Payments,Delhi,Saurabh D.,In Progress,No,KB-0079,,,Yes,Low,Partner,1,Code Bug,,198.35,2024-09-09,2024-09,2024
TKT0115,2024-05-05 04:54:04,Medium,Cloud,Autoscale,Payments,Chennai,Pooja R.,In Progress,No,KB-0038,,,Yes,High,Internal,4,Capacity,,1463.09,2024-04-29,2024-05,2024
TKT0116,2025-01-05 16:14:07,Low,Storage,SAN,Web-Frontend,Remote,Ravi K.,Resolved,No,KB-0060,2025-01-06 17:35:28,25.36,No,Medium,External,4,Human Error,,1154.71,2024-12-30,2025-01,2025
TKT0117,2024-03-08 09:25:45,Medium,Hardware,Power,Search,Pune,Amit M.,Reopened,No,KB-0058,,,Yes,Medium,External,3,Expired Cert,,224.26,2024-03-04,2024-03,2024
TKT0118,2024-05-11 17:40:37,High,Database,Backup,Auth-Service,Pune,Team-NetOps,Resolved,No,KB-0042,2024-05-11 21:03:29,3.38,No,Low,External,1,Third-party,,0.0,2024-05-06,2024-05,2024
TKT0119,2024-03-21 08:12:40,Low,Application,Deployment,API-Gateway,Pune,Team-NetOps,In Progress,No,KB-0075,,,Yes,Low,External,2,Expired Cert,,0.0,2024-03-18,2024-03,2024
TKT0120,2025-07-31 01:52:55,Critical,Network,Firewall,Web-Frontend,Kolkata,Team-DBA,In Progress,No,KB-0081,,,Yes,Medium,External,7,Third-party,,577.7,2025-07-28,2025-07,2025
TKT0121,2025-05-09 07:51:51,Medium,Application,Bug,Payments,Mumbai,Amit M.,Resolved,No,KB-0027,2025-05-09 15:22:22,7.51,No,Low,External,1,Expired Cert,,0.0,2025-05-05,2025-05,2025
TKT0122,2024-12-19 12:08:48,Medium,Hardware,Disk,Email,Hyderabad,Isha T.,Resolved,No,KB-0019,2024-12-20 06:15:21,18.11,No,Low,Partner,0,Hardware Failure,,46.64,2024-12-16,2024-12,2024
TKT0123,2024-09-11 05:52:20,Low,Cloud,Autoscale,Web-Frontend,Bengaluru,Isha T.,Reopened,No,KB-0040,,,Yes,Medium,Internal,4,Hardware Failure,,0.0,2024-09-09,2024-09,2024
