Transaction_ID,Date,Department,Expense_Category,Transaction_Type,Amount,Payment_Method,Status,Tax_Percent,Approved_By,Tax_Amount,Total_Amount
TXN1027,2024-01-28,Sales,Training,Credit,14850.14,Cheque,Completed,5,Manager A,742.51,15592.65
TXN1028,2024-01-29,Sales,Salaries,Credit,17038.5,Cheque,Completed,5,CFO,851.92,17890.42
TXN1029,2024-01-30,IT,Supplies,Credit,2894.15,Cheque,Completed,12,CFO,347.3,3241.45
TXN1030,2024-01-31,IT,Training,Debit,17590.66,Cheque,Completed,12,Manager A,2110.88,19701.54
TXN1031,2024-02-01,HR,Travel,Credit,13037.05,Cash,Completed,12,Manager A,1564.45,14601.5
TXN1032,2024-02-02,Operations,Travel,Credit,14226.95,Online Transfer,Completed,18,Manager A,2560.85,16787.8
TXN1033,2024-02-03,Operations,,Credit,18257.17,,Completed,5,CFO,912.86,19170.03
TXN1034,2024-02-04,Marketing,Supplies,Debit,12682.84,Online Transfer,Completed,18,Manager B,2282.91,14965.75
TXN1035,2024-02-05,Marketing,Supplies,Debit,7049.38,Online Transfer,Pending,12,Manager C,845.93,7895.31
TXN1036,2024-02-06,Marketing,Utilities,Credit,16589.59,Card,Completed,18,,2986.13,19575.72
TXN1037,2024-02-07,IT,Training,Credit,7579.65,Online Transfer,Pending,5,CFO,378.98,7958.63
TXN1038,2024-02-08,Operations,Supplies,Credit,1167.45,Card,Pending,5,Manager C,58.37,1225.82
TXN1039,2024-02-09,Operations,Travel,Credit,16697.76,Card,Completed,12,Manager A,2003.73,18701.49
TXN1040,2024-02-10,Sales,Travel,Debit,7231.25,Cheque,Pending,12,Manager B,867.75,8099.0
TXN1041,2024-02-11,IT,Salaries,Debit,15589.77,Card,Completed,18,Manager C,2806.16,18395.93
TXN1042,2024-02-12,Finance,Supplies,Debit,7573.78,Cash,Completed,12,Manager B,908.85,8482.63
TXN1043,2024-02-13,IT,Training,Debit,17290.83,Card,Completed,12,Manager A,2074.9,19365.73
TXN1044,2024-02-14,Finance,Utilities,Credit,4780.46,Cheque,Completed,5,Manager C,239.02,5019.48
TXN1045,2024-02-15,Sales,Utilities,Credit,19503.67,Card,Completed,12,CFO,2340.44,21844.11
TXN1046,2024-02-16,HR,Training,Credit,15705.3,,Completed,12,Manager B,1884.64,17589.94
TXN1047,2024-02-17,Operations,Maintenance,Debit,2727.64,Cash,Completed,5,Manager A,136.38,2864.02
TXN1048,2024-02-18,Sales,Software,Credit,11532.64,Cash,Completed,5,Manager B,576.63,12109.27
TXN1049,2024-02-19,Operations,,Debit,19714.66,Cheque,Completed,18,Manager C,3548.64,23263.3
TXN1050,2024-02-20,Marketing,Utilities,Debit,9685.78,Cheque,Pending,12,Manager C,1162.29,10848.07
TXN1051,2024-02-21,HR,Supplies,Credit,4051.09,Online Transfer,Completed,5,CFO,202.55,4253.64
TXN1052,2024-02-22,HR,Salaries,Credit,9953.18,Cheque,Completed,18,Manager A,1791.57,11744.75
TXN1053,2024-02-23,Sales,Supplies,Credit,10492.92,Cash,Pending,18,Manager A,1888.73,12381.65
TXN1054,2024-02-24,HR,Maintenance,Debit,14962.9,Cash,Completed,12,CFO,1795.55,16758.45
TXN1055,2024-02-25,Finance,Travel,Credit,14127.49,Cheque,Completed,12,CFO,1695.3,15822.79
TXN1056,2024-02-26,HR,Salaries,Debit,8349.73,Card,Completed,18,Manager A,1502.95,9852.68
TXN1057,2024-02-27,Operations,Utilities,Credit,4751.45,Cheque,Completed,5,Manager B,237.57,4989.02
TXN1058,2024-02-28,Operations,Salaries,Debit,13078.56,Cheque,Failed,18,Manager B,2354.14,15432.7
TXN1059,2024-02-29,Operations,Salaries,Debit,8723.23,Cash,Completed,12,CFO,1046.79,9770.02
TXN1060,2024-03-01,Operations,Salaries,Credit,3079.39,Online Transfer,Pending,5,Manager B,153.97,3233.36
TXN1061,2024-03-02,Finance,Software,Debit,18061.16,Cash,Completed,5,Manager A,903.06,18964.22
TXN1062,2024-03-03,IT,Salaries,Debit,13978.83,Online Transfer,Completed,18,Manager C,2516.19,16495.02
TXN1063,2024-03-04,Marketing,Supplies,Credit,13822.09,Cash,Completed,12,Manager C,1658.65,15480.74
TXN1064,2024-03-05,Sales,Travel,Debit,16540.39,Cheque,Completed,18,Manager B,2977.27,19517.66
TXN1065,2024-03-06,Operations,Maintenance,Credit,10828.4,Cash,Completed,18,CFO,1949.11,12777.51
TXN1066,2024-03-07,HR,Training,Debit,16393.56,Cash,Pending,18,CFO,2950.84,19344.4
TXN1067,2024-03-08,Operations,Salaries,Credit,10212.77,Cash,Pending,5,CFO,510.64,10723.41
TXN1068,2024-03-09,HR,Utilities,Credit,1809.92,Cheque,Completed,5,CFO,90.5,1900.42
TXN1069,2024-03-10,Marketing,Salaries,Debit,8402.34,Cheque,Failed,12,CFO,1008.28,9410.62
TXN1070,2024-03-11,Marketing,Utilities,Debit,10200.57,Cheque,Pending,12,Manager B,1224.07,11424.64
TXN1071,2024-03-12,Marketing,Supplies,Debit,14543.95,Cheque,Completed,18,Manager C,2617.91,17161.86
TXN1072,2024-03-13,HR,Utilities,Debit,2578.29,Online Transfer,Completed,18,Manager C,464.09,3042.38
TXN1073,2024-03-14,Operations,Training,Debit,3230.36,Online Transfer,Completed,18,Manager B,581.46,3811.82
TXN1074,2024-03-15,Marketing,Travel,Credit,5641.83,Card,Completed,12,CFO,677.02,6318.85
TXN1075,2024-03-16,Finance,Utilities,Debit,5696.72,Cheque,Completed,5,Manager B,284.84,5981.56
TXN1076,2024-03-17,HR,Utilities,Credit,14777.6,Online Transfer,Completed,5,Manager C,738.88,15516.48
TXN1077,2024-03-18,HR,Travel,Credit,5389.25,Cash,Pending,18,Manager A,970.06,6359.31
TXN1078,2024-03-19,Operations,Training,Debit,12845.41,,Completed,18,Manager B,2312.17,15157.58
TXN1079,2024-03-20,HR,Salaries,Credit,10138.34,Card,Completed,18,CFO,1824.9,11963.24
TXN1080,2024-03-21,HR,Utilities,Credit,11679.24,Card,Pending,18,Manager C,2102.26,13781.5
TXN1081,2024-03-22,Marketing,Travel,Credit,16843.09,Card,Pending,12,Manager C,2021.17,18864.26
TXN1082,2024-03-23,Operations,Supplies,Credit,8385.44,Cash,Completed,5,Manager C,419.27,8804.71
TXN1083,2024-03-24,Marketing,Travel,Debit,15532.77,Online Transfer,Pending,18,Manager C,2795.9,18328.67
TXN1084,2024-03-25,Marketing,Supplies,Credit,8729.7,Cash,Completed,12,CFO,1047.56,9777.26
TXN1085,2024-03-26,Operations,Training,Debit,7400.49,Cheque,Completed,18,Manager A,1332.09,8732.58
TXN1086,2024-03-27,Sales,Salaries,Debit,19193.23,Card,Completed,18,Manager C,3454.78,22648.01
TXN1087,2024-03-28,Marketing,Travel,Credit,4095.23,Cash,Completed,5,Manager B,204.76,4299.99
TXN1088,2024-03-29,Finance,Maintenance,Debit,2261.57,Cash,Completed,18,Manager A,407.08,2668.65
TXN1089,2024-03-30,Finance,Maintenance,Debit,15534.23,Online Transfer,Completed,5,Manager C,776.71,16310.94
TXN1090,2024-03-31,HR,Software,Debit,1830.87,Online Transfer,Completed,5,Manager A,91.54,1922.41
TXN1091,2024-04-01,Finance,Utilities,Credit,16823.04,Card,Completed,5,Manager B,841.15,17664.19
TXN1092,2024-04-02,HR,Training,Debit,9025.27,Cash,Completed,12,Manager C,1083.03,10108.3
TXN1093,2024-04-03,Sales,Travel,Debit,18352.52,Cash,Pending,12,Manager B,2202.3,20554.82
TXN1094,2024-04-04,Operations,Maintenance,Debit,14569.89,Online Transfer,Completed,5,CFO,728.49,15298.38
TXN1095,2024-04-05,Operations,Utilities,Credit,12402.89,Cash,Completed,18,Manager C,2232.52,14635.41
TXN1096,2024-04-06,Operations,Maintenance,Debit,19011.48,Cash,Completed,5,,950.57,19962.05
TXN1097,2024-04-07,Finance,Travel,Credit,8234.66,Cash,Completed,18,Manager C,1482.24,9716.9
TXN1098,2024-04-08,Sales,Supplies,Credit,19104.7,Online Transfer,Completed,5,Manager C,955.24,20059.94
TXN1099,2024-04-09,Finance,Travel,Credit,3132.52,Card,Pending,18,CFO,563.85,3696.37
TXN1100,2024-04-10,Finance,,Credit,9933.22,Cheque,Completed,12,Manager C,1191.99,11125.21
TXN1101,2024-04-11,Sales,Travel,Credit,5763.27,Card,Completed,18,Manager A,1037.39,6800.66
TXN1102,2024-04-12,Sales,Travel,Credit,11026.93,Cheque,Completed,5,Manager C,551.35,11578.28
TXN1103,2024-04-13,Sales,Software,Debit,3659.27,Cash,Completed,12,CFO,439.11,4098.38
TXN1104,2024-04-14,Sales,,Credit,16909.83,,Completed,18,Manager C,3043.77,19953.6
TXN1105,2024-04-15,Operations,Travel,Debit,17004.95,Cheque,Completed,18,Manager A,3060.89,20065.84
TXN1106,2024-04-16,IT,Software,Debit,19127.11,Online Transfer,Completed,18,CFO,3442.88,22569.99
TXN1107,2024-04-17,IT,Utilities,Credit,3516.11,Online Transfer,Completed,18,CFO,632.9,4149.01
TXN1108,2024-04-18,Sales,Supplies,Debit,12654.98,Card,Completed,18,Manager A,2277.9,14932.88
TXN1109,2024-04-19,IT,Supplies,Debit,9747.63,Card,Completed,12,Manager A,1169.72,10917.35
TXN1110,2024-04-20,IT,Travel,Debit,7215.48,Cash,Pending,12,Manager A,865.86,8081.34
TXN1111,2024-04-21,Sales,Training,Debit,7355.03,Card,Pending,12,Manager A,882.6,8237.63
TXN1112,2024-04-22,IT,Training,Credit,8549.47,Cash,Pending,12,Manager A,1025.94,9575.41
TXN1113,2024-04-23,Finance,Utilities,Debit,14246.05,Cash,Completed,5,CFO,712.3,14958.35
TXN1114,2024-04-24,HR,Travel,Credit,12166.58,Online Transfer,Completed,12,CFO,1459.99,13626.57
TXN1115,2024-04-25,HR,Supplies,Debit,9463.79,Online Transfer,Completed,18,Manager C,1703.48,11167.27
TXN1116,2024-04-26,Sales,Training,Debit,1980.7,Cheque,Completed,18,Manager C,356.53,2337.23
TXN1117,2024-04-27,Operations,Travel,Credit,2016.42,Online Transfer,Completed,12,Manager B,241.97,2258.39
TXN1118,2024-04-28,Sales,Maintenance,Debit,545.62,Online Transfer,Completed,18,Manager C,98.21,643.83
TXN1119,2024-04-29,Operations,Training,Debit,19370.14,Card,Completed,12,Manager C,2324.42,21694.56
TXN1120,2024-04-30,HR,Software,Debit,602.45,Online Transfer,Failed,18,Manager A,108.44,710.89
TXN1121,2024-05-01,Sales,Maintenance,Credit,2510.33,Cheque,Completed,5,Manager A,125.52,2635.85
TXN1122,2024-05-02,Marketing,Training,Debit,6634.63,Card,Completed,5,Manager C,331.73,6966.36
TXN1123,2024-05-03,Finance,Supplies,Credit,16244.89,,Completed,12,Manager B,1949.39,18194.28
TXN1124,2024-05-04,IT,Salaries,Debit,19260.93,Online Transfer,Pending,12,Manager A,2311.31,21572.24
TXN1125,2024-05-05,Operations,Maintenance,Credit,15905.26,Cheque,Completed,12,Manager C,1908.63,17813.89
TXN1126,2024-05-06,Marketing,Utilities,Credit,13965.92,Card,Completed,18,Manager C,2513.87,16479.79
TXN1127,2024-05-07,IT,Utilities,Debit,10665.36,Cash,Completed,12,CFO,1279.84,11945.2
TXN1128,2024-05-08,IT,Supplies,Debit,2190.75,Cheque,Completed,5,Manager B,109.54,2300.29
TXN1129,2024-05-09,Sales,Training,Credit,19184.33,Cheque,Completed,18,CFO,3453.18,22637.51
TXN1130,2024-05-10,IT,Travel,Credit,15288.65,Card,Pending,12,Manager B,1834.64,17123.29
TXN1131,2024-05-11,Finance,Training,Debit,12959.51,Card,Completed,18,Manager A,2332.71,15292.22
TXN1132,2024-05-12,Marketing,Supplies,Credit,15301.2,Cheque,Completed,18,Manager B,2754.22,18055.42
TXN1133,2024-05-13,IT,Utilities,Debit,14620.01,Online Transfer,Completed,12,Manager C,1754.4,16374.41
TXN1134,2024-05-14,Sales,Training,Debit,12926.02,Cheque,Completed,18,Manager C,2326.68,15252.7
TXN1135,2024-05-15,Finance,Utilities,Debit,19621.25,Card,Completed,5,Manager B,981.06,20602.31
TXN1136,2024-05-16,HR,Maintenance,Debit,18115.59,Cash,Completed,5,Manager B,905.78,19021.37
TXN1137,2024-05-17,Marketing,Travel,Credit,13109.97,Cash,Completed,18,Manager B,2359.79,15469.76
TXN1138,2024-05-18,IT,Maintenance,Debit,14016.92,Online Transfer,Completed,12,CFO,1682.03,15698.95
TXN1139,2024-05-19,Sales,Utilities,Credit,1506.12,Cheque,Completed,18,Manager B,271.1,1777.22
TXN1140,2024-05-20,HR,Utilities,Debit,13563.39,Cash,Completed,5,Manager A,678.17,14241.56
TXN1141,2024-05-21,HR,Salaries,Credit,1361.23,Cheque,Completed,18,CFO,245.02,1606.25
TXN1142,2024-05-22,Operations,Salaries,Debit,11971.14,Card,Pending,18,CFO,2154.81,14125.95
TXN1143,2024-05-23,Finance,Maintenance,Credit,19987.39,Cash,Completed,5,,999.37,20986.76
TXN1144,2024-05-24,IT,Software,Credit,11338.23,Online Transfer,Completed,18,Manager A,2040.88,13379.11
TXN1145,2024-05-25,Sales,Maintenance,Debit,9727.6,Card,Pending,18,CFO,1750.97,11478.57
TXN1146,2024-05-26,Operations,Salaries,Debit,6600.67,,Completed,12,Manager C,792.08,7392.75
TXN1147,2024-05-27,Finance,Utilities,Debit,2850.19,Card,Pending,12,CFO,342.02,3192.21
TXN1148,2024-05-28,Operations,Supplies,Debit,14754.96,Cash,Completed,5,Manager B,737.75,15492.71
TXN1149,2024-05-29,Marketing,Maintenance,Credit,4255.68,Online Transfer,Failed,5,Manager A,212.78,4468.46
TXN1150,2024-05-30,Finance,Utilities,Debit,2748.0,,Completed,5,Manager B,137.4,2885.4
TXN1151,2024-05-31,Finance,Supplies,Credit,8724.37,Card,Completed,12,Manager C,1046.92,9771.29
TXN1152,2024-06-01,IT,Supplies,Credit,16009.17,Online Transfer,Completed,5,Manager C,800.46,16809.63
TXN1153,2024-06-02,Finance,Salaries,Debit,15028.76,Card,Pending,5,Manager C,751.44,15780.2
TXN1154,2024-06-03,Operations,Maintenance,Credit,1570.21,Card,Pending,5,Manager B,78.51,1648.72
TXN1155,2024-06-04,Finance,Training,Credit,9375.3,Card,Completed,12,CFO,1125.04,10500.34
TXN1156,2024-06-05,IT,Travel,Credit,10687.47,Card,Completed,18,Manager B,1923.74,12611.21
TXN1157,2024-06-06,IT,Salaries,Credit,13068.66,Cash,Pending,5,Manager A,653.43,13722.09
TXN1158,2024-06-07,Marketing,Salaries,Debit,13178.26,,Completed,18,CFO,2372.09,15550.35
TXN1159,2024-06-08,Operations,Training,Debit,7611.6,Cheque,Pending,5,Manager C,380.58,7992.18
TXN1160,2024-06-09,HR,Travel,Debit,11433.21,,Pending,18,Manager B,2057.98,13491.19
TXN1161,2024-06-10,HR,Utilities,Debit,9880.71,Cheque,Completed,12,Manager C,1185.69,11066.4
TXN1162,2024-06-11,Finance,Software,Credit,17757.47,Cash,Completed,12,Manager C,2130.9,19888.37
TXN1163,2024-06-12,Marketing,Maintenance,Credit,10840.17,,Completed,5,Manager A,542.01,11382.18
TXN1164,2024-06-13,Sales,Software,Debit,9100.13,Online Transfer,Completed,18,CFO,1638.02,10738.15
TXN1165,2024-06-14,Finance,Utilities,Debit,8387.47,Cheque,Pending,12,Manager A,1006.5,9393.97
TXN1166,2024-06-15,Marketing,Salaries,Debit,11662.34,Cash,Completed,5,Manager A,583.12,12245.46
TXN1167,2024-06-16,Operations,Travel,Credit,16177.55,Card,Pending,5,Manager A,808.88,16986.43
TXN1168,2024-06-17,Operations,Salaries,Debit,10998.83,Cheque,Completed,12,Manager C,1319.86,12318.69
TXN1169,2024-06-18,Operations,Supplies,Debit,13402.28,Cash,Failed,12,Manager A,1608.27,15010.55
TXN1170,2024-06-19,Operations,Salaries,Debit,14888.19,Cash,Completed,5,Manager A,744.41,15632.6
TXN1171,2024-06-20,Operations,Salaries,Credit,10643.28,Online Transfer,Completed,18,,1915.79,12559.07
TXN1172,2024-06-21,Marketing,Utilities,Credit,8822.93,Online Transfer,Completed,18,CFO,1588.13,10411.06
TXN1173,2024-06-22,Marketing,Utilities,Credit,17594.97,Cheque,Pending,18,Manager A,3167.09,20762.06
TXN1174,2024-06-23,IT,Utilities,Credit,8641.37,Card,Completed,5,CFO,432.07,9073.44
TXN1175,2024-06-24,HR,Software,Credit,9507.89,Cash,Pending,12,CFO,1140.95,10648.84
TXN1176,2024-06-25,Operations,Supplies,Credit,19811.66,Cheque,Completed,5,Manager A,990.58,20802.24
TXN1177,2024-06-26,Sales,Utilities,Credit,504.63,,Completed,12,Manager C,60.56,565.19
TXN1178,2024-06-27,Marketing,Travel,Credit,4116.72,Cash,Completed,18,Manager A,741.01,4857.73
TXN1179,2024-06-28,Sales,Software,Debit,7987.3,Card,Completed,18,CFO,1437.71,9425.01
TXN1180,2024-06-29,Sales,Training,Debit,18685.5,Card,Completed,12,Manager C,2242.26,20927.76
TXN1181,2024-06-30,Sales,Travel,Credit,1865.58,Cheque,Failed,12,Manager B,223.87,2089.45
TXN1182,2024-07-01,IT,Maintenance,Credit,684.97,Card,Failed,5,Manager C,34.25,719.22
TXN1183,2024-07-02,Marketing,Maintenance,Debit,1527.33,Card,Pending,18,CFO,274.92,1802.25
TXN1184,2024-07-03,Sales,Travel,Credit,2226.6,Cheque,Pending,5,Manager C,111.33,2337.93
TXN1185,2024-07-04,Operations,Utilities,Credit,1233.14,Card,Completed,5,,61.66,1294.8
TXN1186,2024-07-05,Finance,Training,Credit,9855.74,Online Transfer,Completed,5,Manager B,492.79,10348.53
TXN1187,2024-07-06,Sales,Training,Debit,11824.77,Cash,Completed,18,Manager B,2128.46,13953.23
TXN1188,2024-07-07,IT,Software,Debit,5797.9,Cash,Pending,5,Manager B,289.9,6087.8
TXN1189,2024-07-08,Marketing,Training,Debit,8266.6,Cash,Completed,5,,413.33,8679.93
TXN1190,2024-07-09,IT,Maintenance,Debit,2288.14,Cash,Completed,5,CFO,114.41,2402.55
TXN1191,2024-07-10,Sales,Supplies,Debit,7059.22,Cheque,Completed,5,Manager B,352.96,7412.18
TXN1192,2024-07-11,Marketing,Utilities,Credit,10689.12,Cash,Completed,5,Manager C,534.46,11223.58
TXN1193,2024-07-12,Finance,Training,Debit,14779.3,Cash,Pending,5,Manager B,738.96,15518.26
TXN1194,2024-07-13,Sales,Software,Credit,565.25,Cash,Pending,18,Manager C,101.74,666.99
TXN1195,2024-07-14,IT,Maintenance,Credit,9612.56,Cash,Completed,5,Manager C,480.63,10093.19
TXN1196,2024-07-15,HR,Supplies,Debit,6291.56,Online Transfer,Failed,12,CFO,754.99,7046.55
TXN1197,2024-07-16,Operations,Salaries,Debit,17130.03,Cash,Completed,5,Manager C,856.5,17986.53
TXN1198,2024-07-17,IT,Salaries,Credit,14453.29,,Completed,5,Manager B,722.66,15175.95
TXN1199,2024-07-18,Marketing,Supplies,Credit,11987.62,Cheque,Completed,18,CFO,2157.77,14145.39
TXN1200,2024-07-19,Sales,Maintenance,Credit,5906.68,Card,Completed,18,Manager A,1063.2,6969.88
TXN1201,2024-07-20,Operations,Software,Debit,18251.61,Cash,Completed,12,Manager A,2190.19,20441.8
TXN1202,2024-07-21,Sales,Supplies,Debit,1379.46,Card,Failed,12,CFO,165.54,1545.0
TXN1203,2024-07-22,Marketing,Utilities,Debit,2634.62,Card,Completed,18,Manager B,474.23,3108.85
TXN1204,2024-07-23,Sales,Utilities,Debit,8136.79,Cheque,Pending,18,Manager A,1464.62,9601.41
TXN1205,2024-07-24,HR,Salaries,Debit,2926.53,Card,Completed,5,Manager A,146.33,3072.86
TXN1206,2024-07-25,Operations,Training,Credit,19150.11,Online Transfer,Completed,18,Manager C,3447.02,22597.13
TXN1207,2024-07-26,Operations,Software,Debit,16060.79,Card,Completed,12,Manager C,1927.29,17988.08
TXN1208,2024-07-27,Marketing,Salaries,Credit,5550.16,Card,Completed,5,Manager B,277.51,5827.67
TXN1209,2024-07-28,HR,Training,Credit,11976.81,Card,Completed,12,CFO,1437.22,13414.03
TXN1210,2024-07-29,IT,Training,Credit,19655.45,Cash,Pending,5,Manager B,982.77,20638.22
TXN1211,2024-07-30,Sales,Utilities,Debit,17741.88,Cash,Completed,18,CFO,3193.54,20935.42
TXN1212,2024-07-31,Finance,Maintenance,Debit,12215.57,Online Transfer,Completed,12,Manager A,1465.87,13681.44
TXN1213,2024-08-01,Sales,Travel,Debit,18122.62,Online Transfer,Completed,5,Manager C,906.13,19028.75
TXN1214,2024-08-02,Sales,,Credit,19789.11,Cash,Completed,5,Manager B,989.46,20778.57
TXN1215,2024-08-03,IT,Travel,Credit,14995.38,Online Transfer,Completed,18,Manager B,2699.17,17694.55
TXN1216,2024-08-04,Sales,,Credit,1767.23,Cash,Completed,18,CFO,318.1,2085.33
TXN1217,2024-08-05,HR,Utilities,Credit,8330.81,Cheque,Completed,18,CFO,1499.55,9830.36
TXN1218,2024-08-06,HR,Training,Credit,16837.6,Card,Completed,12,Manager B,2020.51,18858.11
TXN1219,2024-08-07,Operations,Software,Credit,4996.1,Card,Completed,5,CFO,249.8,5245.9
TXN1220,2024-08-08,Marketing,Travel,Debit,16697.53,Online Transfer,Completed,18,Manager B,3005.56,19703.09
TXN1221,2024-08-09,Finance,Maintenance,Debit,2846.61,Cash,Completed,12,Manager B,341.59,3188.2
TXN1222,2024-08-10,Sales,Training,Debit,1415.43,Cash,Completed,12,Manager B,169.85,1585.28
TXN1223,2024-08-11,Sales,Travel,Debit,7989.77,Online Transfer,Pending,12,Manager A,958.77,8948.54
TXN1224,2024-08-12,IT,Travel,Credit,1216.27,Cash,Completed,18,CFO,218.93,1435.2
TXN1225,2024-08-13,Marketing,Travel,Credit,19166.77,Cheque,Completed,18,Manager C,3450.02,22616.79
TXN1226,2024-08-14,HR,Software,Debit,16611.01,Card,Completed,5,Manager C,830.55,17441.56
TXN1227,2024-08-15,Finance,Utilities,Credit,16115.01,Online Transfer,Failed,5,CFO,805.75,16920.76
TXN1228,2024-08-16,Operations,Software,Debit,12780.67,Online Transfer,Completed,18,Manager B,2300.52,15081.19
TXN1229,2024-08-17,HR,Salaries,Debit,4718.32,Cash,Completed,12,,566.2,5284.52
TXN1230,2024-08-18,Marketing,Training,Debit,10606.08,Online Transfer,Pending,12,,1272.73,11878.81
TXN1231,2024-08-19,Operations,Utilities,Credit,12146.84,Cheque,Completed,12,CFO,1457.62,13604.46
TXN1232,2024-08-20,IT,Utilities,Debit,10738.11,Cash,Completed,5,Manager C,536.91,11275.02
TXN1233,2024-08-21,IT,Utilities,Debit,5574.55,Cash,Completed,12,Manager B,668.95,6243.5
TXN1234,2024-08-22,Sales,Maintenance,Debit,10547.33,Cash,Completed,5,CFO,527.37,11074.7
TXN1235,2024-08-23,Marketing,Utilities,Credit,10078.13,Cash,Failed,5,Manager B,503.91,10582.04
TXN1236,2024-08-24,Finance,Software,Credit,19928.55,Cheque,Pending,12,Manager C,2391.43,22319.98
TXN1237,2024-08-25,Operations,Utilities,Debit,18000.0,Cash,Completed,12,,2160.0,20160.0
TXN1238,2024-08-26,HR,Supplies,Credit,9535.92,Online Transfer,Completed,18,Manager B,1716.47,11252.39
TXN1239,2024-08-27,Marketing,Training,Credit,12647.28,Cheque,Completed,18,Manager A,2276.51,14923.79
TXN1240,2024-08-28,Marketing,Utilities,Credit,15083.5,Card,Completed,12,Manager C,1810.02,16893.52
TXN1241,2024-08-29,IT,Training,Credit,1179.87,Card,Pending,5,Manager A,58.99,1238.86
TXN1242,2024-08-30,Sales,Supplies,Credit,17950.97,Online Transfer,Completed,5,Manager C,897.55,18848.52
TXN1243,2024-08-31,Sales,Supplies,Credit,17272.47,Online Transfer,Completed,5,Manager A,863.62,18136.09
TXN1244,2024-09-01,Operations,Training,Credit,9419.93,Cheque,Pending,5,Manager A,471.0,9890.93
TXN1245,2024-09-02,IT,Travel,Credit,8127.81,Card,Completed,5,Manager A,406.39,8534.2
TXN1246,2024-09-03,Marketing,Salaries,Credit,5822.71,Card,Completed,18,Manager B,1048.09,6870.8
TXN1247,2024-09-04,Finance,Maintenance,Credit,9795.2,Card,Completed,12,Manager A,1175.42,10970.62
TXN1248,2024-09-05,IT,Travel,Debit,1365.34,,Failed,18,Manager A,245.76,1611.1
TXN1249,2024-09-06,Operations,Travel,Debit,17117.77,Card,Completed,5,Manager A,855.89,17973.66
TXN1250,2024-09-07,Operations,,Credit,1190.74,Cash,Completed,5,Manager C,59.54,1250.28
TXN1251,2024-09-08,IT,Maintenance,Debit,6916.5,Online Transfer,Completed,5,Manager A,345.82,7262.32
TXN1252,2024-09-09,Operations,Maintenance,Debit,18666.0,Cash,Completed,5,Manager C,933.3,19599.3
